name,train_rmse,val_rmse,test_rmse,val_iqr_outliers,val_iqr_upper_fence,val_max_pred,val_outlier_true_mean,val_outlier_true_max,val_outlier_true_ge_q95,val_top_pred_y_true,uses_iso,iso_kind,iso_weight,tail_q,tail_resid_q,tail_gain,tail_power,iqr_top_k,tail_resid_scale,tail_start,tail_denom
isopchip_w1.25_q0.95_rq0.9_g0.5_p1_iqr0,0.005504009469191157,0.005708288841396137,0.008407436952274772,23,0.005818737125145589,0.006994172358995588,0.003748433305704018,0.0223503691045323,1,0.00500254153267,True,pchip,1.25,0.95,0.9,0.5,1.0,0,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isostep_w0.5_q0.99_rq0.9_g2.5_p1_iqr1,0.005555317589282387,0.0057086849781909045,0.008408182207386938,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,step,0.5,0.99,0.9,2.5,1.0,1,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isostep_w0.5_q0.99_rq0.9_g2.5_p1_iqr2,0.005555317589282387,0.0057086849781909045,0.008408182207386938,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,step,0.5,0.99,0.9,2.5,1.0,2,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isostep_w0.5_q0.99_rq0.9_g2.5_p1_iqr0,0.005555317589282387,0.0057086849781909045,0.008408182207386938,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,step,0.5,0.99,0.9,2.5,1.0,0,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isopchip_w0.5_q0.99_rq0.9_g2.5_p1_iqr0,0.005555317589282387,0.005708685641749026,0.008408182052009784,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,pchip,0.5,0.99,0.9,2.5,1.0,0,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isopchip_w0.5_q0.99_rq0.9_g2.5_p1_iqr2,0.005555317589282387,0.005708685641749026,0.008408182052009784,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,pchip,0.5,0.99,0.9,2.5,1.0,2,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isopchip_w0.5_q0.99_rq0.9_g2.5_p1_iqr1,0.005555317589282387,0.005708685641749026,0.008408182052009784,20,0.005325398307978497,0.014742810378073018,0.003977992577422584,0.0223503691045323,1,0.00500254153267,True,pchip,0.5,0.99,0.9,2.5,1.0,1,0.004898141031870919,0.0035725449826474777,6.542871282409161e-05
isostep_w0.25_q0.975_rq0.9_g1.5_p2_iqr2,0.005537522280446903,0.005708764839913823,0.008408473116024925,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,step,0.25,0.975,0.9,1.5,2.0,2,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isostep_w0.25_q0.975_rq0.9_g1.5_p2_iqr1,0.005537522280446903,0.005708764839913823,0.008408473116024925,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,step,0.25,0.975,0.9,1.5,2.0,1,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isostep_w0.25_q0.975_rq0.9_g1.5_p2_iqr0,0.005537522280446903,0.005708764839913823,0.008408473116024925,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,step,0.25,0.975,0.9,1.5,2.0,0,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isopchip_w0.25_q0.975_rq0.9_g1.5_p2_iqr2,0.005537522280446903,0.005708765170457487,0.008408473037975775,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,pchip,0.25,0.975,0.9,1.5,2.0,2,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isopchip_w0.25_q0.975_rq0.9_g1.5_p2_iqr0,0.005537522280446903,0.005708765170457487,0.008408473037975775,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,pchip,0.25,0.975,0.9,1.5,2.0,0,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isopchip_w0.25_q0.975_rq0.9_g1.5_p2_iqr1,0.005537522280446903,0.005708765170457487,0.008408473037975775,32,0.005206489794466558,0.011564503938835648,0.003183080024619972,0.0223503691045323,1,0.00500254153267,True,pchip,0.25,0.975,0.9,1.5,2.0,1,0.005891077748561951,0.0035246045408966775,0.00011336915457489183
isostep_w1_q0.95_rq0.9_g0.5_p1_iqr1,0.005504534855945236,0.005708804326018585,0.008407708915758347,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,0.5,1.0,1,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w1_q0.95_rq0.9_g0.5_p1_iqr2,0.005504534855945236,0.005708804326018585,0.008407708915758347,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,0.5,1.0,2,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w1_q0.95_rq0.9_g0.5_p1_iqr0,0.005504534855945236,0.005708804326018585,0.008407708915758347,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,0.5,1.0,0,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g0.5_p1_iqr0,0.005504534855945236,0.005708805662953064,0.008407708607892885,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,0.5,1.0,0,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g0.5_p1_iqr2,0.005504534855945236,0.005708805662953064,0.008407708607892885,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,0.5,1.0,2,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g0.5_p1_iqr1,0.005504534855945236,0.005708805662953064,0.008407708607892885,52,0.005563215335002373,0.007005768099544297,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,0.5,1.0,1,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.95_rq0.9_g1_p2_iqr1,0.005524084592197035,0.005709021308644813,0.008406917167863667,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,step,1.5,0.95,0.9,1.0,2.0,1,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.95_rq0.9_g1_p2_iqr2,0.005524084592197035,0.005709021308644813,0.008406917167863667,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,step,1.5,0.95,0.9,1.0,2.0,2,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.95_rq0.9_g1_p2_iqr0,0.005524084592197035,0.005709021308644813,0.008406917167863667,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,step,1.5,0.95,0.9,1.0,2.0,0,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isopchip_w1.5_q0.95_rq0.9_g1_p2_iqr0,0.005524084592197035,0.005709023328738715,0.0084069167103819,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,pchip,1.5,0.95,0.9,1.0,2.0,0,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isopchip_w1.5_q0.95_rq0.9_g1_p2_iqr1,0.005524084592197035,0.005709023328738715,0.0084069167103819,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,pchip,1.5,0.95,0.9,1.0,2.0,1,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isopchip_w1.5_q0.95_rq0.9_g1_p2_iqr2,0.005524084592197035,0.005709023328738715,0.0084069167103819,40,0.006074258915288805,0.010245788333621105,0.0030430294787020876,0.0223503691045323,1,0.00500254153267,True,pchip,1.5,0.95,0.9,1.0,2.0,2,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isostep_w1.25_q0.95_rq0.9_g1_p2_iqr2,0.005524041253741252,0.005709106864736199,0.00840689544469644,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.25,0.95,0.9,1.0,2.0,2,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isostep_w1.25_q0.95_rq0.9_g1_p2_iqr1,0.005524041253741252,0.005709106864736199,0.00840689544469644,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.25,0.95,0.9,1.0,2.0,1,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isostep_w1.25_q0.95_rq0.9_g1_p2_iqr0,0.005524041253741252,0.005709106864736199,0.00840689544469644,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,step,1.25,0.95,0.9,1.0,2.0,0,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isopchip_w1.25_q0.95_rq0.9_g1_p2_iqr1,0.005524041253741252,0.005709108541969147,0.008406895061644014,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.25,0.95,0.9,1.0,2.0,1,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isopchip_w1.25_q0.95_rq0.9_g1_p2_iqr2,0.005524041253741252,0.005709108541969147,0.008406895061644014,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.25,0.95,0.9,1.0,2.0,2,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isopchip_w1.25_q0.95_rq0.9_g1_p2_iqr0,0.005524041253741252,0.005709108541969147,0.008406895061644014,52,0.005818737125145589,0.010243128691089343,0.0035044173915029365,0.0223503691045323,3,0.00500254153267,True,pchip,1.25,0.95,0.9,1.0,2.0,0,0.007250131211438143,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.75_g2.5_p1_iqr2,0.00550440416766608,0.005709154304106732,0.008408076275704482,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.75,2.5,1.0,2,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.75_g2.5_p1_iqr1,0.00550440416766608,0.005709154304106732,0.008408076275704482,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.75,2.5,1.0,1,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.75_g2.5_p1_iqr0,0.00550440416766608,0.005709154304106732,0.008408076275704482,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.75,2.5,1.0,0,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.75_g2.5_p1_iqr0,0.00550440416766608,0.005709155303054108,0.008408076043725645,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.75,2.5,1.0,0,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.75_g2.5_p1_iqr1,0.00550440416766608,0.005709155303054108,0.008408076043725645,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.75,2.5,1.0,1,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.75_g2.5_p1_iqr2,0.00550440416766608,0.005709155303054108,0.008408076043725645,55,0.005444306821490434,0.006884127322116178,0.003554401019830256,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.75,2.5,1.0,2,0.0013820500871277346,0.0034749265569206113,0.00016304713855095796
isostep_w0.5_q0.975_rq0.9_g1_p1_iqr2,0.005517396345868799,0.005709206150695283,0.008407934362736728,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,step,0.5,0.975,0.9,1.0,1.0,2,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isostep_w0.5_q0.975_rq0.9_g1_p1_iqr1,0.005517396345868799,0.005709206150695283,0.008407934362736728,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,step,0.5,0.975,0.9,1.0,1.0,1,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isostep_w0.5_q0.975_rq0.9_g1_p1_iqr0,0.005517396345868799,0.005709206150695283,0.008407934362736728,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,step,0.5,0.975,0.9,1.0,1.0,0,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isopchip_w0.5_q0.975_rq0.9_g1_p1_iqr2,0.005517396345868799,0.005709206814192831,0.008407934207354995,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,pchip,0.5,0.975,0.9,1.0,1.0,2,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isopchip_w0.5_q0.975_rq0.9_g1_p1_iqr1,0.005517396345868799,0.005709206814192831,0.008407934207354995,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,pchip,0.5,0.975,0.9,1.0,1.0,1,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isopchip_w0.5_q0.975_rq0.9_g1_p1_iqr0,0.005517396345868799,0.005709206814192831,0.008407934207354995,73,0.005325398307978497,0.009174655052757712,0.003538834108988312,0.0223503691045323,4,0.00500254153267,True,pchip,0.5,0.975,0.9,1.0,1.0,0,0.005896721623021344,0.0035246045408966775,0.00011336915457489183
isostep_w1_q0.95_rq0.9_g1_p2_iqr0,0.005524451412107067,0.005709633001617217,0.008407177269918586,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,1.0,2.0,0,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w1_q0.95_rq0.9_g1_p2_iqr1,0.005524451412107067,0.005709633001617217,0.008407177269918586,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,1.0,2.0,1,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w1_q0.95_rq0.9_g1_p2_iqr2,0.005524451412107067,0.005709633001617217,0.008407177269918586,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,step,1.0,0.95,0.9,1.0,2.0,2,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g1_p2_iqr0,0.005524451412107067,0.005709634338357657,0.008407176962033655,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,1.0,2.0,0,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g1_p2_iqr1,0.005524451412107067,0.005709634338357657,0.008407176962033655,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,1.0,2.0,1,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isopchip_w1_q0.95_rq0.9_g1_p2_iqr2,0.005524451412107067,0.005709634338357657,0.008407176962033655,66,0.005563215335002373,0.010240469048557582,0.003158866879818263,0.0223503691045323,3,0.00500254153267,True,pchip,1.0,0.95,0.9,1.0,2.0,2,0.007218319950455108,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.9_g0.5_p1_iqr1,0.0055056111326800185,0.005709814688978226,0.008408302554652997,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.9,0.5,1.0,1,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.9_g0.5_p1_iqr0,0.0055056111326800185,0.005709814688978226,0.008408302554652997,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.9,0.5,1.0,0,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isostep_w0.75_q0.95_rq0.9_g0.5_p1_iqr2,0.0055056111326800185,0.005709814688978226,0.008408302554652997,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,step,0.75,0.95,0.9,0.5,1.0,2,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.9_g0.5_p1_iqr1,0.0055056111326800185,0.005709815687810066,0.008408302322680403,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.9,0.5,1.0,1,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.9_g0.5_p1_iqr0,0.0055056111326800185,0.005709815687810066,0.008408302322680403,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.9,0.5,1.0,0,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isopchip_w0.75_q0.95_rq0.9_g0.5_p1_iqr2,0.0055056111326800185,0.005709815687810066,0.008408302322680403,67,0.005444306821490434,0.007028688505637249,0.003187473256922779,0.0223503691045323,3,0.00500254153267,True,pchip,0.75,0.95,0.9,0.5,1.0,2,0.00720998973187701,0.0034749265569206113,0.00016304713855095796
isostep_w0.5_q0.95_rq0.75_g2.5_p1_iqr0,0.005505720690209729,0.005710487943664973,0.008408934062797488,72,0.005325398307978497,0.006881194561672932,0.003587984582724261,0.0223503691045323,4,0.00500254153267,True,step,0.5,0.95,0.75,2.5,1.0,0,0.00136966303275857,0.0034749265569206113,0.00016304713855095796
isostep_w0.5_q0.95_rq0.75_g2.5_p1_iqr1,0.005505720690209729,0.005710487943664973,0.008408934062797488,72,0.005325398307978497,0.006881194561672932,0.003587984582724261,0.0223503691045323,4,0.00500254153267,True,step,0.5,0.95,0.75,2.5,1.0,1,0.00136966303275857,0.0034749265569206113,0.00016304713855095796
