ufs_serial,pred,pred_base_postprocess,health
S00485,0.0014092485803831583,0.0016747051210234537,0.0
S00486,0.0021538963830443356,0.002351814282912982,0.0023937848290876
S00487,0.0030550440569004646,0.0026498836012937214,0.0047925556278778
S00488,0.0014301601558473422,0.0016328819700950857,0.0024354507544016
S00491,0.0017785520119862667,0.002115817941173834,0.0
S00493,0.00047211635981128604,0.0009512205853844752,0.0
S00495,0.003509906504079229,0.00305979857293221,0.0
S00497,0.002938936814965105,0.0028820980851644406,0.0043514615044499
S00498,0.0027158426254344477,0.0025546538554800683,0.0
S00499,0.0025162649805181604,0.002466994073533647,0.0
S00500,0.0028955651498428913,0.002968841415408868,0.0021848266645565
S00501,0.003431356935722124,0.003216897709646421,0.0021832142888519
S00502,0.003068516345089389,0.0026229390249158735,0.0022247289590775
S00503,0.003516594345532772,0.003046422890025125,0.0
S00505,0.0036261852770891655,0.0033209690574704225,0.0
S00510,0.0034591060386066847,0.003161399503877299,0.0022227290819726
S00512,0.002495821599264492,0.00252332907710354,0.0043474647807241
S00513,0.0035967176945765154,0.0033074324953756193,0.0
S00514,0.003412166075500123,0.0032552794300904227,0.0
S00515,0.0035993139071727734,0.003302240070183104,0.0065527516282994
S00516,0.0035305759525303573,0.003512187706588039,0.0
S00518,0.0034108828981474076,0.003257845784795853,0.0
S00519,0.003476007593022859,0.0031275963950449515,0.0
S00520,0.0031449822152366676,0.003042712285139683,0.0
S00521,0.0034826687854773147,0.003114274010136039,0.004380398378283
S00522,0.0029869296548996702,0.0027861124052953106,0.0
S00523,0.0036207968133954325,0.0033317459848578885,0.0
S00524,0.0030508814922885663,0.002658208730517518,0.0073659093266936
S00525,0.0029664033839265237,0.002827164947241603,0.0022026334100044
S00527,0.0031687854528904182,0.0029951058098321814,0.0022325840475805
S00529,0.003605063661649312,0.0033632122883501298,0.0022204351516776
S00531,0.0029144266209095325,0.002931118473275586,0.0
S00537,0.0034145796470079937,0.0032504522870746813,0.0
S00538,0.003481665924546081,0.003116279731998507,0.0
S00539,0.003412649955682524,0.0032543116697256215,0.0
S00540,0.003463913825942387,0.003151783929205895,0.0043980160257686
S00543,0.0036026242614317517,0.003295619361665147,0.0024125042473666
S00545,0.0029073912318270724,0.002945189251440506,0.0
S00547,0.0031640978507471995,0.003004481014118619,0.0024299851365094
S00548,0.0036032001637066125,0.0032944675571154255,0.0022212091958954
S00550,0.0030049365475456856,0.002750098620003279,0.0048952977562397
S00551,0.0036283287570219994,0.0033166820976047546,0.0
S00552,0.003473023136426153,0.0031335653082383633,0.0021787351938066
S00553,0.0034477651832384255,0.0031840812146138172,0.0
S00554,0.003153863620436051,0.0030249494747409166,0.0
S00555,0.00349800923377117,0.0030835931135483286,0.0
S00557,0.0029273875512476504,0.00290519661259935,0.0086994954467681
S00558,0.0036092265012734022,0.003354886609101949,0.0
S00559,0.0035982067140218803,0.003304454456484889,0.0
S00560,0.0029868665183445837,0.0027862386784054836,0.0
S00561,0.003568787849289463,0.003435763913069828,0.0
S00562,0.0029062576670563457,0.0029474563809819597,0.0109444848164541
S00564,0.0034555891524603068,0.003168433276170055,0.0
S00565,0.0035982012079049464,0.003376937195838861,0.0
S00566,0.0035743648588125645,0.003424609894023624,0.0
S00567,0.003628863854110895,0.003315611903426964,0.0
S00568,0.0035833082246803883,0.0034067231622879764,0.0
S00570,0.0002091023145644788,0.0005118513573400094,0.0022028091356744
S00571,0.00018956402366353633,0.0005509279391418945,0.0
S00574,0.00045331970866953786,0.0009888138876679715,0.0
S00577,0.00010712566767483612,0.0007158046511192949,0.0
S00579,0.0006367539474960413,0.001141889287424432,0.0
S00580,0.0027200159070445763,0.0025463072922598117,0.0022136704169895
S00581,0.0030052724515887727,0.0027494268119171053,0.0
S00582,0.0034658121870628934,0.0031479872069648824,0.0022362909068002
S00583,0.0031618100805521953,0.003009056554508628,0.0
S00584,0.000661249594363861,0.0010928979936887925,0.0
S00585,0.001184415370522705,0.001605803654608528,0.0
S00586,0.0006225083216624377,0.0011703805390916391,0.0
S00587,0.0006626017235533021,0.0010901937353099103,0.0
S00588,0.0006343950592461365,0.0011466070639242416,0.0
S00589,0.0011485461508311354,0.0013174359785303928,0.0
S00590,0.001395133370371684,0.0017029355410464024,0.0
S00593,0.0013419850278087603,0.0018092322261722498,0.0
S00594,0.0011159310433974542,0.0014540222120175512,0.0
S00598,0.0006074575832766272,0.00120048201586326,0.0
S00599,0.0011323846437181033,0.0013497589927564573,0.0
S00600,0.0010985054979468427,0.001488873302918774,0.0
S00603,0.00012065749098700217,0.0007894088984739222,0.0
S00605,0.0034778384243107424,0.0031239347324691843,0.0
S00606,0.0028929209821756193,0.002974129750743412,0.0
S00607,0.003625139982674314,0.003323059646300125,0.0
S00612,0.0036165736620815624,0.0033401922874856287,0.0
S00614,0.003411474723581295,0.0032566621339280783,0.0
S00616,0.003565714047184083,0.003441911517280588,0.0
S00617,0.0035164823784497815,0.0035403748547491905,0.0
S00618,0.0035246696984323747,0.0035240002147840046,0.0
S00619,0.003596853072678106,0.003379633466292542,0.0
S00621,0.0035638968212095977,0.003445545969229558,0.0
S00624,0.003559295984100507,0.0034547476434477397,0.0
S00626,0.003441018016944382,0.0031975755472019047,0.0
S00629,0.0035520864852245527,0.0034691666411996486,0.0
S00630,0.0035533887389182766,0.0034665621338122008,0.0
S00632,0.0005883276283359201,0.0012387419257446743,0.0
S00634,0.003613574145358001,0.003346191320932752,0.0
S00635,0.0031543139191122283,0.0030240488773885616,0.0
S00636,0.0022031010429661726,0.0022348185417239556,0.0
S00637,0.0013488382722012379,0.0017955257373872945,0.0
S00638,0.002930597718121885,0.0028987762788508812,0.0
S00639,0.0034942290043814502,0.003091153572327768,0.0
S00640,0.003411597882064338,0.0032564158169619928,0.0
S00642,0.00013642944907730798,0.000657197088314351,0.0
S00643,0.00027317573515709846,0.00038370451615477014,0.0
S00644,0.0001345004608739993,0.0006610550647209684,0.0
S00645,0.0002755405892079819,0.0008378844130388608,0.0
S00646,0.00024780174040186966,0.0004344525056652278,0.0
S00647,0.00017082403520056206,0.000588407916067843,0.0
S00648,0.0002777040112037822,0.00037464796406140274,0.0
S00651,0.00011851788096004336,0.0006930202245488803,0.0
S00654,0.00019332816112622596,0.0005433996642165151,0.0
S00656,0.00010780522242446425,0.0007144455416200386,0.0
S00657,0.00023309733603288813,0.0004638613144031908,0.0
S00658,0.0002529502717726011,0.0004241554429237648,0.0
S00660,0.002513374280281747,0.002472775474006474,0.0
S00661,0.0011403505276451394,0.0014051832435221807,0.0
S00662,0.002188655731736807,0.0022637091641826874,0.0
S00664,0.002181645104088024,0.002277730419480253,0.0
S00666,0.0006796809477929605,0.0010560352868305934,0.0
S00667,0.0013480667468304666,0.0017970687881288373,0.0
S00668,0.0011304141369701762,0.0014250560248721068,0.0
S00670,0.0010619936536721746,0.0015618969914681102,0.0
S00671,0.0004921017082091076,0.0009112498885888321,0.0
S00673,0.0018563124170755405,0.0019602971309952864,0.0
S00676,0.0012973147446299683,0.0018985727925298335,0.0
S00677,0.0022156341168575577,0.002209752393941185,0.0
S00679,0.003613405339837337,0.0033465289319740796,0.0
S00683,0.003502140582583689,0.0035690584464813753,0.0
S00685,0.0035624669144591965,0.0034484057827303604,0.0
S00686,0.0030392254339963952,0.00268152084710186,0.0
S00687,0.0024906883294817687,0.0025181473756064306,0.0
S00689,0.003469940604581519,0.003139730371927631,0.0
S00690,0.0014377865255528264,0.0016176292306841174,0.0
S00691,0.0013673206447919013,0.0017585609922059677,0.0
S00692,0.00303650171640511,0.0026869682822844307,0.0
S00693,0.002907611358628802,0.002944748997837046,0.0
S00698,0.0035273687848402313,0.003518602041968291,0.0
S00700,0.00357868730062493,0.0034159650103988935,0.0
S00702,0.00015052570619720964,0.0006290045740745477,0.0
S00703,0.00014594394453341193,0.0006381680974021431,0.0
S00705,7.619078096725198e-05,0.000777674424534463,0.0
S00706,0.000204171184545063,0.0005217136173788411,0.0
S00707,0.00018810947914053833,0.0005538370281878903,0.0
S00708,0.0004968313553704269,0.0009017905942661935,0.0
S00711,0.00017510980683253894,0.0005798363728038891,0.0
S00713,0.00011891776404069677,0.0006922204583875735,0.0
S00717,0.0029039522890446584,0.0029520671370053334,0.0
S00718,0.0013563928700584568,0.0017804165416728567,0.0
S00719,0.0031598317902977987,0.003013013135017421,0.0
S00720,0.0030660074210358216,0.002627956873023007,0.0
S00722,0.0012902144932404073,0.0019127732953089554,0.0
S00726,0.0031591091921289198,0.0030144583313551788,0.0
S00727,0.0013597531881009784,0.0017736959055878136,0.0
S00728,0.0018040388123123146,0.002064844340521738,0.0
S00729,0.002984321383772312,0.0027913289475500268,0.0
S00731,0.0035067116278451114,0.003066188325400446,0.0
S00732,0.002924956365006657,0.002910058985081336,0.0
S00733,0.003460949168169111,0.003157713244752446,0.0
S00735,0.000655136693413859,0.0011051237955887966,0.0
S00736,0.0006747983914205847,0.001065800399575345,0.0
S00737,0.0011103764962070862,0.001465131306398287,0.0
S00738,0.0006382139381175654,0.0011389693061813837,0.0
S00740,0.00015259272572403762,0.0006248705350208919,0.0
S00741,0.0006006300012972921,0.0012141371798219302,0.0
S00742,0.0011582971689897354,0.0012979339422131927,0.0
S00747,0.0006890729861127404,0.0010372512101910337,0.0
S00748,0.002985907350642086,0.002788157013810479,0.0
S00752,0.0030765307137293374,0.002606910287635976,0.0
S00754,0.002949800704345672,0.002860370306403307,0.0
S00755,0.0006408497970773922,0.00113369758826173,0.0
S00757,0.0002846167736408454,0.0008197320441731337,0.0
S00758,0.00048826890665462045,0.0009189154916978064,0.0
S00761,0.0001128367709514168,0.0008050503385450929,0.0
S00763,0.0025033512623013994,0.0024928215099671693,0.0
S00769,0.001740336526917979,0.0021922489113104095,0.0
S00771,0.001426968468012419,0.0016392653457649323,0.0
S00772,0.0036139714086820124,0.003345396794284729,0.0
S00773,0.001357603353266428,0.001777995575256914,0.0
S00774,0.0035707108102493107,0.0034319179911501316,0.0
S00777,0.002901697920255476,0.002956575874583699,0.0
S00778,0.0018089400548229207,0.002055041855500526,0.0
S00781,0.0013403162188829055,0.0018125698440239594,0.0
S00782,0.003008329870151745,0.0027433119747911606,0.0
S00784,0.002542027175039979,0.0025318249840477953,0.0
S00786,0.0011171552430508935,0.0014515738127106725,0.0
S00787,0.0030338076767644747,0.0026923563615657018,0.0
S00788,0.003145225840371358,0.0030422250348703015,0.0
S00789,0.0030182412032741246,0.002723489308546402,0.0
S00791,0.0031744965205797,0.002983683674453618,0.0
S00792,0.002916093768504148,0.002927784178086355,0.0
S00793,0.0029412636069142163,0.0028774445012662176,0.0
S00794,0.0025161456413514112,0.0024672327518671456,0.0
S00795,0.003012041802492705,0.0027358881101092404,0.0
S00797,0.0035002196061139417,0.003079172368862785,0.0
S00798,0.000629134852064501,0.0011571274782875124,0.0
S00800,0.0034648300860968305,0.0031499514088970076,0.0
