feature,mean_abs_shap,mean_shap,rank
X85,7.107917467401318e-05,3.2692533392934787e-06,85
X867,7.097003992110301e-05,-6.854529308950051e-07,86
X355,7.003720996610045e-05,1.058482647303418e-06,87
X998,6.986920827467082e-05,-1.3017962146795587e-06,88
X875,6.986456910155007e-05,9.705607743912275e-07,89
X578,6.903584594589683e-05,3.644350912483604e-05,90
X314,6.805239578659319e-05,-8.462623379522793e-07,91
X929,6.757900612284375e-05,-1.1777289597181513e-06,92
X723,6.499656419442805e-05,9.491756155363509e-06,93
X408,6.414680313454408e-05,-4.336853941285138e-07,94
X885,6.390254562459725e-05,-5.847057143201517e-07,95
X769,6.270118425263994e-05,1.9003282563322983e-06,96
X890,6.267573302466853e-05,-1.7405396302001135e-06,97
X550,6.261514869104081e-05,8.048696861128673e-07,98
X580,6.0940116918901775e-05,1.0144958990877894e-05,99
X1004,6.083026971732394e-05,5.243427340091707e-06,100
X967,6.001735260014273e-05,-1.2644051015894912e-06,101
X817,5.9226001249205355e-05,2.4522342742652264e-06,102
X595,5.903274835727097e-05,2.2515891260788999e-07,103
X122,5.893446256349727e-05,1.988264210337174e-06,104
X581,5.8896585859559386e-05,1.302517922222028e-05,105
X80,5.876274882705068e-05,-6.987488059290035e-07,106
X398,5.7728042595109054e-05,-3.3337907417246925e-06,107
X64,5.7438239700274726e-05,-7.404225802082339e-07,108
X294,5.689051923199897e-05,4.338587424640348e-06,109
X79,5.6585890457154784e-05,8.114836157860044e-07,110
X483,5.537449075826727e-05,-1.2711852026479915e-06,111
X812,5.413493238473724e-05,-3.97801555334551e-06,112
X586,5.373055280165606e-05,-2.080493603149112e-05,113
X832,5.34592348930889e-05,-6.096530704348684e-07,114
X274,5.338830574157966e-05,6.029476726564085e-07,115
X661,5.285530012955723e-05,1.4246115021722705e-06,116
X888,5.2796424760034275e-05,-1.1641590026144974e-06,117
X190,5.217554788795626e-05,6.750264536620182e-07,118
X904,5.20795116062547e-05,3.2845547975152795e-06,119
X724,5.1165881717296074e-05,-9.297505324887565e-06,120
X405,5.060648928705012e-05,5.283390885831558e-06,121
X305,5.018002335240018e-05,-1.5576668529164106e-06,122
X337,5.0155460481250424e-05,2.946534993818845e-07,123
X1059,4.9517449766318245e-05,8.085168296852182e-07,124
X838,4.9491021599612735e-05,-2.0715121587580757e-06,125
X735,4.937082135078412e-05,2.7501237772820386e-06,126
X60,4.860122770236549e-05,2.1122249001614224e-06,127
X853,4.820798513109216e-05,-5.882041320613131e-07,128
X340,4.815981658196174e-05,-3.754925375419715e-06,129
X317,4.776593008062428e-05,-8.439684688518455e-07,130
X773,4.753569910254408e-05,-1.1366865725546768e-06,131
X45,4.721325026956404e-05,6.818536938929973e-07,132
X713,4.62726007552682e-05,2.4908077308236013e-06,133
X403,4.595998137539578e-05,4.808284703763514e-07,134
X878,4.481274340877317e-05,-1.3563546178448881e-06,135
X973,4.447373435163831e-05,-3.5069166839791026e-06,136
X53,4.4447694593469665e-05,-6.987538412923049e-07,137
X571,4.32025939783101e-05,3.826811634603745e-06,138
X1030,4.254502653772519e-05,5.086321121878804e-07,139
X901,4.244947291353506e-05,-1.4405911845632394e-06,140
X810,4.244244996759425e-05,4.784426277542593e-06,141
X574,4.2413055080836304e-05,9.272853389693924e-07,142
X880,4.2227896416502646e-05,7.165956172022087e-06,143
X999,4.1761233966448804e-05,2.221346647891927e-06,144
X1005,4.130370765386944e-05,1.6057035953170613e-06,145
X608,4.062572909384943e-05,1.1488669273013198e-07,146
X1075,4.0384493901584295e-05,1.0374796556487035e-05,147
X67,4.020712239165595e-05,6.352397181171063e-07,148
X839,4.012850234574367e-05,9.09372879384712e-07,149
X682,3.936687891079866e-05,-8.505511317933183e-07,150
X57,3.902772730817267e-05,9.485469246831823e-07,151
X348,3.868146000475609e-05,1.2643935647752214e-06,152
X649,3.8495244366639205e-05,3.303939268652987e-07,153
X928,3.8153112623967246e-05,-3.296591483162884e-06,154
X271,3.7958040303104324e-05,-9.785066240712714e-07,155
X644,3.781446833990159e-05,-3.6034705302172547e-07,156
X29,3.770986715805096e-05,8.905846968993831e-07,157
X803,3.691095602894904e-05,2.038107159727059e-06,158
X342,3.619541549585067e-05,1.6792558505220073e-07,159
X1033,3.619510697848577e-05,1.4950633235545204e-06,160
X652,3.6075177449535097e-05,-4.276906940356242e-06,161
X805,3.539013074491596e-05,4.5902802730414787e-07,162
X873,3.493074049909774e-05,3.292912090681456e-06,163
X19,3.488637533223301e-05,2.8400151793304586e-07,164
X843,3.423860771048017e-05,1.510805848163396e-08,165
X837,3.37636306650727e-05,2.202729799754142e-06,166
X81,3.350201995028809e-05,-1.1670263382615837e-06,167
X486,3.343543731889076e-05,9.201816258249297e-07,168
X892,3.312461006366451e-05,-1.4907408848774258e-06,169
X894,3.305369991078246e-05,-6.25860323957602e-10,170
X396,3.3022464630371805e-05,-8.455039069211526e-07,171
