ufs_serial,feature,shap_value,feat_norm,rank
S01045,X818,0.006902467071493597,0.0,0
S01062,X818,0.006902467071493597,0.0,0
S01071,X818,0.006902467071493597,0.0,0
S01080,X818,0.006902467071493597,0.0,0
S01082,X818,0.006902467071493597,0.0,0
S01084,X818,0.006902467071493597,0.0,0
S01086,X818,0.006902467071493597,0.0,0
S01088,X818,0.006902467071493597,0.0,0
S01090,X818,0.006902467071493597,0.0,0
S01094,X818,0.006902467071493597,0.0,0
S01096,X818,0.006902467071493597,0.0,0
S01098,X818,0.006902467071493597,0.0,0
S01101,X818,0.006902467071493597,0.0,0
S01103,X818,0.006902467071493597,0.0,0
S01104,X818,0.006902467071493597,0.0,0
S01110,X818,0.006902467071493597,0.0,0
S01117,X818,0.006902467071493597,0.0,0
S01122,X818,0.006902467071493597,0.0,0
S01127,X818,0.006902467071493597,0.0,0
S01131,X818,0.006902467071493597,0.0,0
S01136,X818,0.006902467071493597,0.0,0
S01139,X818,0.006902467071493597,0.0,0
S01143,X818,0.006902467071493597,0.0,0
S01149,X818,0.006902467071493597,0.0,0
S01150,X818,0.006902467071493597,0.0,0
S01155,X818,0.006902467071493597,0.0,0
S01159,X818,0.006902467071493597,0.0,0
S01167,X818,0.006902467071493597,0.0,0
S01170,X818,0.006902467071493597,0.0,0
S01173,X818,0.006902467071493597,0.0,0
S01175,X818,0.006902467071493597,0.0,0
S01185,X818,0.006902467071493597,0.0,0
S01190,X818,0.006902467071493597,0.0,0
S01198,X818,0.006902467071493597,0.0,0
S01224,X818,0.006902467071493597,0.0,0
S01230,X818,0.006902467071493597,0.0,0
S01234,X818,0.006902467071493597,0.0,0
S01235,X818,0.006902467071493597,0.0,0
S01243,X818,0.006902467071493597,0.0,0
S01244,X818,0.006902467071493597,0.0,0
S01247,X818,0.006902467071493597,0.0,0
S01253,X818,0.006902467071493597,0.0,0
S01255,X818,0.006902467071493597,0.0,0
S01257,X818,0.006902467071493597,0.0,0
S01261,X818,0.006902467071493597,0.0,0
S01263,X818,0.006902467071493597,0.0,0
S01266,X818,0.006902467071493597,0.0,0
S01269,X818,0.006902467071493597,0.0,0
S01277,X818,0.006902467071493597,0.0,0
S01299,X818,0.006902467071493597,0.0,0
S01303,X818,0.006902467071493597,0.0,0
S01305,X818,0.006902467071493597,0.0,0
S01310,X818,0.006902467071493597,0.0,0
S01311,X818,0.006902467071493597,0.0,0
S01321,X818,0.006902467071493597,0.0,0
S01327,X818,0.006902467071493597,0.0,0
S01334,X818,0.006902467071493597,0.0,0
S01338,X818,0.006902467071493597,0.0,0
S01359,X818,0.006902467071493597,0.0,0
S01367,X818,0.006902467071493597,0.0,0
S01382,X818,0.006902467071493597,0.0,0
S01391,X818,0.006902467071493597,0.0,0
S01394,X818,0.006902467071493597,0.0,0
S01399,X818,0.006902467071493597,0.0,0
S01401,X818,0.006902467071493597,0.0,0
S01404,X818,0.006902467071493597,0.0,0
S01421,X818,0.006902467071493597,0.0,0
S01422,X818,0.006902467071493597,0.0,0
S01430,X818,0.006902467071493597,0.0,0
S01433,X818,0.006902467071493597,0.0,0
S01434,X818,0.006902467071493597,0.0,0
S01436,X818,0.006902467071493597,0.0,0
S01447,X818,0.006902467071493597,0.0,0
S01453,X818,0.006902467071493597,0.0,0
S01454,X818,0.006902467071493597,0.0,0
S01471,X818,0.006902467071493597,0.0,0
S01472,X818,0.006902467071493597,0.0,0
S01481,X818,0.006902467071493597,0.0,0
S01483,X818,0.006902467071493597,0.0,0
S01487,X818,0.006902467071493597,0.0,0
S01494,X818,0.006902467071493597,0.0,0
S01505,X818,0.006902467071493597,0.0,0
S01515,X818,0.006902467071493597,0.0,0
S01519,X818,0.006902467071493597,0.0,0
S01521,X818,0.006902467071493597,0.0,0
S01522,X818,0.006902467071493597,0.0,0
S01528,X818,0.006902467071493597,0.0,0
S01530,X818,0.006902467071493597,0.0,0
S01534,X818,0.006902467071493597,0.0,0
S01541,X818,0.006902467071493597,0.0,0
S01561,X818,0.006902467071493597,0.0,0
S01563,X818,0.006902467071493597,0.0,0
S01570,X818,0.006902467071493597,0.0,0
S01580,X818,0.006902467071493597,0.0,0
S01586,X818,0.006902467071493597,0.0,0
S01589,X818,0.006902467071493597,0.0,0
S01592,X818,0.006902467071493597,0.0,0
S01599,X818,0.006902467071493597,0.0,0
S01601,X818,0.006902467071493597,0.0,0
S01603,X818,0.006902467071493597,0.0,0
S01604,X818,0.006902467071493597,0.0,0
S01611,X818,0.006902467071493597,0.0,0
S01613,X818,0.006902467071493597,0.0,0
S01615,X818,0.006902467071493597,0.0,0
S01616,X818,0.006902467071493597,0.0,0
S01622,X818,0.006902467071493597,0.0,0
S01636,X818,0.006902467071493597,0.0,0
S01639,X818,0.006902467071493597,0.0,0
S01648,X818,0.006902467071493597,0.0,0
S01650,X818,0.006902467071493597,0.0,0
S01659,X818,0.006902467071493597,0.0,0
S01661,X818,0.006902467071493597,0.0,0
S01675,X818,0.006902467071493597,0.0,0
S01677,X818,0.006902467071493597,0.0,0
S01678,X818,0.006902467071493597,0.0,0
S01679,X818,0.006902467071493597,0.0,0
S01680,X818,0.006902467071493597,0.0,0
S01686,X818,0.006902467071493597,0.0,0
S01693,X818,0.006902467071493597,0.0,0
S01700,X818,0.006902467071493597,0.0,0
S01703,X818,0.006902467071493597,0.0,0
S01704,X818,0.006902467071493597,0.0,0
S01712,X818,0.006902467071493597,0.0,0
S01714,X818,0.006902467071493597,0.0,0
S01717,X818,0.006902467071493597,0.0,0
S01718,X818,0.006902467071493597,0.0,0
S01719,X818,0.006902467071493597,0.0,0
S01724,X818,0.006902467071493597,0.0,0
S01730,X818,0.006902467071493597,0.0,0
S01732,X818,0.006902467071493597,0.0,0
S01734,X818,0.006902467071493597,0.0,0
S01741,X818,0.006902467071493597,0.0,0
S01743,X818,0.006902467071493597,0.0,0
S01749,X818,0.006902467071493597,0.0,0
S01753,X818,0.006902467071493597,0.0,0
S01754,X818,0.006902467071493597,0.0,0
S01756,X818,0.006902467071493597,0.0,0
S01762,X818,0.006902467071493597,0.0,0
S01764,X818,0.006902467071493597,0.0,0
S01771,X818,0.006902467071493597,0.0,0
S01776,X818,0.006902467071493597,0.0,0
S01784,X818,0.006902467071493597,0.0,0
S01785,X818,0.006902467071493597,0.0,0
S01799,X818,0.006902467071493597,0.0,0
S01800,X818,0.006902467071493597,0.0,0
S01806,X818,0.006902467071493597,0.0,0
S01811,X818,0.006902467071493597,0.0,0
S01813,X818,0.006902467071493597,0.0,0
S01828,X818,0.006902467071493597,0.0,0
S01836,X818,0.006902467071493597,0.0,0
S01838,X818,0.006902467071493597,0.0,0
S01842,X818,0.006902467071493597,0.0,0
S01844,X818,0.006902467071493597,0.0,0
S01847,X818,0.006902467071493597,0.0,0
S01849,X818,0.006902467071493597,0.0,0
S01853,X818,0.006902467071493597,0.0,0
S01859,X818,0.006902467071493597,0.0,0
S01864,X818,0.006902467071493597,0.0,0
S01871,X818,0.006902467071493597,0.0,0
S01879,X818,0.006902467071493597,0.0,0
S01880,X818,0.006902467071493597,0.0,0
S01881,X818,0.006902467071493597,0.0,0
S01885,X818,0.006902467071493597,0.0,0
S01909,X818,0.006902467071493597,0.0,0
S01910,X818,0.006902467071493597,0.0,0
S01916,X818,0.006902467071493597,0.0,0
S01922,X818,0.006902467071493597,0.0,0
S01923,X818,0.006902467071493597,0.0,0
S01925,X818,0.006902467071493597,0.0,0
S01929,X818,0.006902467071493597,0.0,0
S01930,X818,0.006902467071493597,0.0,0
S01932,X818,0.006902467071493597,0.0,0
S01938,X818,0.006902467071493597,0.0,0
S01940,X818,0.006902467071493597,0.0,0
S01956,X818,0.006902467071493597,0.0,0
S01960,X818,0.006902467071493597,0.0,0
S01963,X818,0.006902467071493597,0.0,0
S01966,X818,0.006902467071493597,0.0,0
S01968,X818,0.006902467071493597,0.0,0
S01970,X818,0.006902467071493597,0.0,0
S01972,X818,0.006902467071493597,0.0,0
S01983,X818,0.006902467071493597,0.0,0
S01987,X818,0.006902467071493597,0.0,0
S01989,X818,0.006902467071493597,0.0,0
S01995,X818,0.006902467071493597,0.0,0
S01998,X818,0.006902467071493597,0.0,0
S02001,X818,0.006902467071493597,0.0,0
S02004,X818,0.006902467071493597,0.0,0
S02005,X818,0.006902467071493597,0.0,0
S02010,X818,0.006902467071493597,0.0,0
S02015,X818,0.006902467071493597,0.0,0
S02023,X818,0.006902467071493597,0.0,0
S02026,X818,0.006902467071493597,0.0,0
S02030,X818,0.006902467071493597,0.0,0
S02040,X818,0.006902467071493597,0.0,0
S02048,X818,0.006902467071493597,0.0,0
S02052,X818,0.006902467071493597,0.0,0
S02058,X818,0.006902467071493597,0.0,0
S02060,X818,0.006902467071493597,0.0,0
S02061,X818,0.006902467071493597,0.0,0
S02067,X818,0.006902467071493597,0.0,0
