run_id,wafer_no,total_dies,risk_dies,avg_ppm
26,1,56,0,2833.8
26,3,64,1,2923.6
26,8,69,0,1892.0
26,9,73,0,422.3
26,11,55,0,360.6
26,14,51,0,461.2
26,16,57,0,474.9
26,17,69,0,459.2
26,24,57,0,2434.8
26,25,56,0,2473.5
27,1,74,0,308.4
27,3,70,0,308.4
27,8,68,25,2504.4
27,9,73,0,2816.8
27,11,63,2,2597.7
27,14,62,6,2884.3
27,17,63,1,2636.5
28,2,56,0,2041.2
28,3,74,0,1741.1
28,4,61,0,1141.2
28,5,68,0,428.3
28,6,68,0,1404.3
28,8,67,0,1323.1
28,10,52,0,1526.6
28,12,65,0,1051.7
28,14,53,0,1750.5
28,15,69,2,2753.9
28,16,64,0,2072.4
28,18,78,0,2856.2
28,19,62,1,2813.7
28,20,57,0,2682.5
28,21,65,0,2579.2
28,22,34,0,2619.7
28,23,57,0,2267.9
28,24,59,0,1928.6
28,25,77,0,1724.4
29,1,18,1,482.8
29,2,15,2,832.4
29,4,18,2,647.4
29,5,20,2,614.5
29,6,22,6,1234.2
29,7,23,1,961.9
29,8,26,1,536.2
29,10,19,1,628.5
29,11,21,1,450.4
29,12,16,0,539.1
29,13,17,0,442.5
29,14,11,0,577.6
29,16,27,3,645.5
29,17,15,0,538.1
29,18,25,0,575.0
29,19,26,1,543.3
29,20,17,1,492.7
29,22,15,3,939.7
29,23,19,2,639.6
29,24,25,0,573.0
29,25,18,0,786.3
30,1,14,0,2915.1
30,2,24,0,2942.0
30,3,27,11,2985.3
30,4,17,0,3029.8
30,5,25,5,3165.9
30,7,18,0,1883.1
30,8,19,3,2900.4
30,9,24,0,1571.7
30,10,26,0,1451.2
30,11,31,0,1616.1
30,13,25,0,2563.9
30,14,20,0,2691.1
30,15,27,0,2649.3
30,16,23,0,2407.2
30,17,25,0,3125.0
30,19,21,0,1647.0
30,20,24,0,2765.4
30,21,24,0,1430.6
30,22,24,0,3078.0
30,23,20,0,2905.3
31,2,14,0,2947.1
31,3,21,0,1209.1
31,4,19,0,2627.9
31,6,22,0,2205.0
31,8,22,0,2030.8
31,9,22,0,2080.6
31,10,20,0,2969.3
31,11,21,0,2535.6
31,12,20,0,2843.5
31,14,26,0,2461.3
31,15,26,0,2346.2
31,16,23,0,2359.3
31,17,19,0,2409.0
31,18,22,0,3215.0
31,20,19,0,2852.6
31,21,18,0,2609.9
31,22,19,0,2259.5
31,23,22,0,2332.6
31,24,22,0,2641.6
32,5,19,2,2985.1
32,10,21,17,3396.8
32,12,21,14,3233.9
32,13,19,5,3217.6
32,14,19,18,3416.0
32,15,20,19,3400.9
32,16,26,19,3304.1
32,17,25,14,3084.3
32,18,26,26,3433.1
32,19,25,5,3088.7
32,20,26,9,3063.8
32,21,17,6,3046.3
32,22,24,6,3130.0
32,23,23,10,3213.0
32,25,24,13,3229.9
33,2,20,8,3295.1
33,3,21,17,3332.0
33,4,18,14,3354.5
33,5,34,32,3377.1
33,7,25,12,3226.9
33,8,23,18,3200.3
33,9,19,15,3304.5
33,10,19,16,3397.6
33,11,17,12,3275.1
33,14,29,22,3301.8
33,15,22,10,3311.9
33,16,25,4,3251.5
33,19,28,23,3296.3
33,20,14,0,3037.3
33,21,22,19,3233.1
33,22,27,0,3136.1
33,23,36,0,2949.5
33,25,22,21,3354.2
34,6,18,14,3323.5
34,7,23,5,3095.8
34,10,23,23,3426.9
34,11,24,20,3279.9
34,12,18,1,3120.5
34,13,23,21,3409.5
34,17,21,17,3352.4
34,18,24,22,3392.3
34,19,17,7,3131.2
34,20,13,10,3284.6
34,21,24,21,3324.7
34,22,16,2,3071.2
35,1,15,9,3284.0
35,3,17,9,3186.1
35,4,23,0,2997.4
35,5,17,10,3288.8
35,10,27,19,3322.1
35,11,28,2,3225.0
35,16,16,0,3089.9
35,17,16,0,2961.7
35,21,28,9,3246.2
35,22,24,0,2824.4
35,23,21,16,3360.2
35,24,20,6,3108.0
36,1,17,0,2613.3
36,2,23,22,3449.4
36,3,22,22,3430.4
36,4,23,23,3456.1
36,5,15,13,3412.7
36,6,29,28,3454.2
36,8,20,19,3459.5
36,9,13,13,3439.3
36,10,19,19,3455.7
36,11,21,21,3446.8
36,12,18,14,3363.6
36,13,18,18,3456.7
36,14,22,21,3442.2
36,15,24,22,3401.6
36,16,10,10,3401.3
36,17,24,18,3365.4
36,18,19,18,3436.8
36,19,23,19,3401.1
36,20,25,22,3400.1
36,21,21,9,3243.2
36,23,16,16,3453.9
36,25,28,25,3421.1
37,2,19,0,3086.3
37,3,18,0,3088.0
37,4,22,0,2807.2
37,5,26,0,1601.9
37,6,16,0,2951.2
37,9,16,0,2380.7
37,11,21,6,3214.6
37,12,17,0,3185.4
37,14,20,0,3046.4
37,15,18,0,2914.5
37,21,22,0,2945.9
37,22,25,0,2990.9
37,24,23,0,2925.0
38,1,19,0,2182.5
38,2,18,0,2667.8
38,3,21,0,2139.7
38,4,17,0,2621.5
38,5,25,0,3102.8
38,6,18,0,973.3
38,7,13,0,1680.2
38,8,19,0,3169.0
38,9,20,0,2801.0
38,10,20,0,1293.3
38,11,23,0,2551.8
38,13,25,12,3207.3
38,14,25,0,2110.9
38,16,31,0,3143.0
38,17,24,0,1653.3
38,18,21,0,3028.3
38,19,25,0,1596.8
38,20,19,0,2763.4
38,21,19,0,3107.2
38,23,21,0,634.9
38,24,24,0,1679.0
38,25,20,0,2920.8
39,3,19,0,1452.8
39,4,16,0,1101.0
39,5,22,0,1195.5
39,6,9,0,1296.2
39,7,14,0,2234.7
39,9,11,0,2054.6
39,10,11,0,1547.9
39,11,12,0,1628.4
39,12,11,0,3014.3
39,13,4,0,3003.3
39,15,4,2,3312.7
39,16,2,0,2704.2
39,17,3,0,3127.0
39,18,3,0,3204.4
39,19,2,1,3207.9
39,21,5,0,3205.8
39,22,4,0,3096.4
39,24,9,0,2480.8
40,10,22,5,3161.1
40,12,23,14,3341.9
40,14,32,1,2970.6
40,17,23,0,2978.5
40,18,28,7,3217.0
40,19,18,0,2377.8
40,20,11,0,2923.8
40,21,25,0,2182.8
40,22,17,0,2107.8
40,23,17,0,1778.7
40,24,13,0,1938.2
40,25,24,0,3106.7
41,2,24,17,3309.4
41,4,20,10,3269.0
41,5,35,15,3262.1
41,6,20,3,3250.1
41,8,26,22,3311.5
41,10,19,17,3373.1
41,11,24,2,3157.7
41,15,15,0,1505.9
41,16,31,0,2181.6
41,17,20,0,2648.0
41,18,28,0,2925.2
41,20,23,0,2554.1
41,21,16,0,2394.2
42,1,25,20,3360.3
42,2,27,25,3401.1
42,4,20,0,3175.8
42,5,23,19,3377.0
42,6,24,11,3220.5
42,7,18,8,3257.6
42,8,19,12,3316.6
42,10,21,8,3226.5
42,12,30,1,3101.5
42,13,26,13,3271.4
42,14,19,2,3236.8
42,16,21,1,3080.0
42,17,20,3,3242.6
42,18,19,0,897.8
42,19,26,0,677.2
42,20,17,0,1101.3
42,22,19,0,1056.6
42,23,22,0,448.6
42,24,19,0,377.5
42,25,25,0,1230.6
43,2,20,0,537.0
43,3,17,0,628.6
43,4,25,0,728.4
43,6,14,0,697.0
43,8,17,0,308.4
43,9,21,0,678.9
43,10,24,0,380.3
43,11,22,0,308.4
43,12,23,0,1395.2
43,14,17,0,364.0
43,15,19,0,964.7
43,16,23,0,550.1
43,17,24,0,460.5
43,18,28,0,515.8
43,20,18,0,492.1
43,21,21,0,455.0
43,22,25,0,491.4
43,23,20,0,349.6
43,24,20,0,615.1
44,1,18,0,883.4
44,3,18,0,308.4
44,4,20,0,630.2
44,6,12,0,1126.2
44,7,20,0,1071.5
44,8,19,0,308.4
44,10,24,0,1092.8
44,11,22,0,3078.5
44,12,20,7,3172.6
44,13,16,15,3396.0
44,14,23,18,3239.6
44,15,23,0,3044.2
44,16,23,12,3125.5
44,18,15,1,3238.4
44,19,23,0,3016.3
45,1,28,28,3449.9
45,2,18,0,3174.8
45,3,22,11,3222.7
45,5,23,18,3293.2
45,6,29,5,3251.4
45,7,23,13,3270.8
45,8,15,0,2999.4
45,9,20,14,3266.1
45,11,1,0,3115.8
45,12,1,0,2748.2
45,13,30,7,3256.7
45,14,19,4,3243.2
45,15,13,12,3436.8
45,17,13,8,3305.9
45,18,24,15,3263.2
45,19,16,2,3137.7
45,20,22,22,3416.8
45,24,21,21,3440.6
45,25,16,0,1353.4
46,3,14,0,3064.3
46,6,24,0,3031.9
46,9,21,0,2984.1
46,11,15,0,2949.7
46,16,34,0,2956.5
46,19,32,0,2953.5
46,24,26,0,2131.0
46,25,21,0,525.4
47,19,22,0,3021.0
47,22,18,1,3079.8
47,24,11,2,3235.2
47,25,13,0,2612.9
48,5,20,0,1748.7
48,9,20,0,343.9
48,11,21,0,2713.2
48,14,20,0,1947.3
49,1,15,15,3419.8
49,2,17,0,3128.9
49,4,22,0,1738.4
49,6,19,0,3097.3
49,8,16,0,3078.0
49,10,21,0,343.5
49,16,20,0,1528.0
49,19,16,0,2817.7
49,24,23,0,2886.0
50,1,23,0,1513.7
50,3,9,0,1572.0
50,6,23,0,1159.0
50,8,11,0,2410.6
50,9,15,0,2513.5
50,11,19,0,2633.9
50,14,16,0,1228.4
50,16,17,0,2895.7
50,17,12,0,2083.1
50,19,10,7,3054.7
50,22,18,0,2944.2
50,24,18,3,3061.9
50,25,14,0,3192.7
51,1,20,0,2600.0
51,3,15,0,3215.8
51,4,20,0,2817.6
51,5,18,0,2935.4
51,6,24,0,2785.7
51,7,29,0,2931.3
51,9,17,0,2549.9
51,10,10,0,2107.4
51,11,15,0,1955.9
51,12,23,0,2749.8
51,13,21,2,2994.7
51,14,13,0,2461.5
51,15,23,0,2779.6
51,16,19,0,308.4
51,17,24,0,308.4
51,18,17,0,352.9
51,19,24,0,308.4
51,20,17,0,382.4
51,21,25,0,308.4
51,22,21,0,308.4
51,23,17,0,308.4
52,1,24,0,3198.7
52,2,14,1,3211.9
52,4,18,2,3153.5
52,5,17,0,3184.1
52,6,18,1,2972.5
52,7,21,1,3127.1
52,10,26,0,2755.3
52,11,22,0,3163.5
52,12,21,3,3192.0
52,13,26,0,3019.6
52,14,21,1,3221.5
52,15,7,0,2831.4
52,16,18,0,2253.9
52,17,15,0,3106.2
52,18,14,1,3169.8
52,19,24,0,3133.8
52,20,25,0,2765.2
52,21,20,0,2721.9
52,22,19,0,2924.6
52,23,18,0,2828.4
52,24,21,0,2543.6
53,1,21,21,3486.3
53,2,22,22,3586.7
53,3,15,15,3458.9
53,4,15,15,3448.1
53,5,16,16,3464.8
53,6,23,19,3393.5
53,7,25,24,3452.3
53,8,19,19,3482.6
53,9,23,22,3416.7
53,10,23,23,3457.1
53,11,29,29,3461.5
53,12,15,9,3328.0
53,13,24,24,3471.4
53,14,20,20,3460.2
53,15,23,21,3412.7
53,16,21,21,3479.3
53,17,21,18,3406.7
53,18,15,11,3319.7
53,19,24,22,3408.1
53,20,18,18,3471.5
53,21,20,13,3360.1
53,22,29,28,3408.1
53,23,22,21,3462.6
53,24,21,21,3423.1
53,25,24,20,3417.0
54,1,25,0,2929.8
54,3,22,0,2883.6
54,8,27,0,1835.7
54,9,24,0,361.7
54,11,25,0,308.4
54,14,18,0,308.4
54,16,21,0,414.5
54,17,23,0,447.8
54,24,29,0,2228.3
54,25,12,0,2484.4
55,1,23,0,340.1
55,3,20,0,335.7
55,8,29,0,2732.1
55,9,31,0,2811.7
55,11,13,0,2548.9
55,14,26,0,2951.6
55,17,22,0,2761.8
56,2,28,0,2066.0
56,3,26,0,1685.8
56,4,23,0,1348.1
56,5,15,0,374.6
56,6,21,0,1487.7
56,8,10,0,1327.1
56,10,24,0,1602.6
56,12,18,0,1097.4
56,14,14,0,1593.8
56,15,23,0,2975.4
56,16,23,0,2033.1
56,18,28,0,2919.2
56,19,11,0,2561.1
56,20,23,0,2544.3
56,21,17,0,2635.4
56,22,10,0,2683.6
56,23,17,0,2235.8
56,24,26,0,2003.1
56,25,22,0,1630.5
57,1,16,2,689.3
57,2,26,1,700.6
57,4,18,3,830.3
57,5,10,2,935.1
57,6,18,1,482.5
57,7,15,1,985.0
57,8,25,0,426.0
57,10,20,1,464.9
57,11,24,1,682.9
57,12,21,0,343.4
57,13,24,0,482.7
57,14,26,4,778.3
57,16,13,3,1020.3
57,17,25,0,697.2
57,18,23,0,577.3
57,19,12,2,833.8
57,20,25,1,545.6
57,22,21,0,308.4
57,23,18,0,308.4
57,24,19,1,787.3
57,25,27,0,550.0
58,1,24,0,3024.1
58,2,21,0,2979.0
58,3,21,8,3209.4
58,4,27,1,3021.8
58,5,32,13,3238.9
58,7,22,0,1777.1
58,8,18,0,2719.6
58,9,17,0,1601.1
58,10,20,0,1453.2
58,11,25,0,1550.5
58,13,24,0,2516.4
58,14,15,0,2783.1
58,15,15,0,2597.1
58,16,16,0,2208.3
58,17,24,0,3097.0
58,19,23,0,1739.5
58,20,21,0,2769.0
58,21,26,0,1449.9
58,22,21,0,3130.3
58,23,23,0,2926.4
59,2,16,0,2864.5
59,3,22,0,1450.2
59,4,25,0,2719.7
59,6,26,0,2170.3
59,8,28,0,2159.8
59,9,14,0,2039.0
59,10,28,0,2999.7
59,11,21,0,2790.8
59,12,31,0,2832.8
59,14,19,0,2359.9
59,15,18,0,2395.0
59,16,17,0,2404.0
59,17,21,0,2496.7
59,18,17,0,2895.4
59,20,18,0,2722.1
59,21,17,0,2560.6
59,22,16,0,2297.5
59,23,23,0,2392.6
59,24,21,0,2849.4
60,5,25,6,3063.2
60,10,16,16,3432.4
60,12,20,15,3352.9
60,13,21,7,3254.7
60,14,22,19,3396.3
60,15,28,23,3377.1
60,16,17,12,3305.5
60,17,29,17,3272.0
60,18,23,21,3412.2
60,19,19,5,3149.8
60,20,17,4,3106.9
60,21,28,9,3146.8
60,22,17,4,3133.4
60,23,21,9,3239.5
60,25,14,11,3249.9
61,2,21,14,3280.5
61,3,26,23,3334.5
61,4,23,19,3342.0
61,5,16,13,3193.0
61,7,20,9,3196.4
61,8,20,15,3159.4
61,9,25,20,3323.0
61,10,25,22,3386.1
61,11,26,19,3293.9
61,14,24,16,3288.5
61,15,25,13,3293.1
61,16,24,3,3242.2
61,19,15,9,3305.4
61,20,16,0,3093.8
61,21,22,18,3213.9
61,22,19,0,3094.0
61,23,14,0,2957.4
61,25,20,16,3355.5
62,6,22,13,3204.7
62,7,24,4,3147.9
62,10,19,12,3192.3
62,11,16,13,3304.0
62,12,18,4,3111.8
62,13,20,15,3353.6
62,17,21,17,3364.6
62,18,23,22,3426.4
62,19,28,18,3283.2
62,20,15,7,3132.2
62,21,24,18,3334.9
62,22,20,2,3104.1
63,1,28,20,3280.0
63,3,27,20,3242.6
63,4,16,0,2929.5
63,5,26,15,3273.2
63,10,26,15,3269.6
63,11,29,4,3203.7
63,16,14,0,3036.0
63,17,25,0,2996.9
63,21,19,8,3249.6
63,22,27,0,2851.5
63,23,21,13,3313.8
63,24,14,1,3196.7
64,1,17,0,2723.1
64,2,22,22,3459.1
64,3,15,15,3447.2
64,4,16,15,3438.6
64,5,24,23,3442.5
64,6,23,19,3422.7
64,8,20,19,3450.8
64,9,17,17,3454.0
64,10,26,26,3463.5
64,11,22,22,3452.8
64,12,14,10,3394.0
64,13,27,27,3439.8
64,14,21,21,3463.2
64,15,22,21,3419.2
64,16,23,21,3377.6
64,17,16,12,3410.1
64,18,18,17,3406.6
64,19,18,13,3379.4
64,20,22,19,3402.3
64,21,19,12,3355.4
64,23,24,23,3438.2
64,25,17,14,3412.1
65,2,30,1,3195.4
65,3,21,0,3009.5
65,4,18,1,3123.4
65,5,26,0,1611.4
65,6,26,0,2886.2
65,9,20,0,2327.6
65,11,28,8,3206.4
65,12,30,0,3170.4
65,14,18,0,3117.9
65,15,25,0,2973.7
65,21,25,0,2971.3
65,22,14,0,3055.7
65,24,23,5,3176.1
