run_id,wafer_no,total_dies,risk_dies,avg_ppm
28,5,109,0,432
28,6,108,0,1430
28,8,93,0,1334
28,10,102,0,1549
28,12,115,0,1093
28,14,85,0,1705
28,15,110,2,2825
28,16,107,0,2062
28,18,121,0,2854
28,19,93,1,2752
28,20,108,0,2660
28,21,105,0,2577
28,22,52,0,2635
28,23,97,0,2254
28,24,109,0,1935
28,25,113,0,1689
