ufs_serial,month,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726
S00363,2025-10,7.9836813,-3.3024651,2.0227204,3.7437953,3.1562657000000005,31.02,23.5060918,13.3479023,285.35,1776.75,90.2546883,1310.25,2178.25,980.25,1042.25
S00366,2025-10,10.4957746,2.6955234,2.6189043,7.9483628,2.0202146,31.395,31.3928609,17.8674013,286.75,1787.75,86.46166170000001,1870.0,2015.5,1067.75,1006.5
S00369,2025-10,8.711119799999999,-0.271105,4.0021827000000005,1.295266,2.6163128,29.58,30.220612300000003,12.0800422,288.25,1777.0,90.4372723,1780.5,1912.5,894.5,951.75
S00371,2025-10,9.813654,-0.4714674,2.6774611,5.6080313,2.6683232999999995,29.7425,27.2312881,17.819568999999994,292.4,1770.75,87.20993990000001,1420.0,1978.75,897.5,970.0
S00373,2025-10,10.4957746,2.6955234,2.6189043,7.9483628,2.0202146,29.4,31.3928609,17.8674013,287.7,1762.5,86.46166170000001,1745.5,1991.25,1076.25,1003.5
S00376,2025-10,9.813654,-0.4714674,2.6774611,5.6080313,2.6683232999999995,28.0675,27.2312881,17.819568999999994,293.25,1768.0,87.20993990000001,1497.5,1946.0,940.25,920.25
S00377,2025-10,9.813654,-0.4714674,2.6774611,5.6080313,2.6683232999999995,30.49,27.2312881,17.819568999999994,289.25,1774.75,87.20993990000001,1750.0,1991.75,906.5,958.0
S00378,2025-10,7.8765057,5.5402437,2.5096586,3.1505373,2.9895367000000004,30.685,22.627440600000003,12.7303259,285.55,1783.5,87.26807579999998,1103.5,2031.75,1019.75,992.25
S00379,2025-10,7.8765057,5.5402437,2.5096586,3.1505373,2.9895367000000004,31.785,22.627440600000003,12.7303259,284.65,1777.25,87.26807579999998,1403.0,2153.0,982.75,1022.75
S00380,2025-10,11.9773042,0.9436176,4.283596999999999,7.525702799999999,2.6169812,32.0375,24.842021300000003,18.854578600000004,286.5,1758.25,85.2120638,1754.0,2016.75,958.0,952.75
S00383,2025-10,11.5597062,-1.7570245,7.8174554,15.6326304,3.7533815,23.6625,15.272182099999998,21.3669642,286.7,1778.5,75.0941848,1590.0,2038.5,1004.0,1011.5
S00384,2025-10,11.9773042,0.9436176,4.283596999999999,7.525702799999999,2.6169812,32.325,24.842021300000003,18.854578600000004,288.95,1777.25,85.2120638,1404.0,2155.75,970.0,976.25
S00388,2025-10,9.002269,0.0693939,2.6363403,7.412498599999998,2.8327475,30.0425,28.8628868,17.2926514,287.25,1760.75,86.8100472,1543.0,1938.75,997.25,989.5
S00389,2025-10,9.2679177,0.2864700999999999,3.7667771,2.892462,3.1283082,32.73,24.8238909,13.4389979,289.5,1752.0,88.21658509999997,1436.0,2014.25,1004.25,961.0
S00390,2025-10,11.8080405,1.4406173999999998,2.5250775,7.5167193,3.4261316,36.2275,29.2716522,19.5981781,285.55,1752.0,84.862494,1558.0,2220.75,982.0,1044.75
S00393,2025-10,9.8898523,0.3819701,3.6171813,4.554752199999999,2.8516159,26.275,27.4334024,17.577898299999998,284.95,1778.5,88.35184220000001,1422.0,2090.0,983.5,1059.5
S00395,2025-10,11.465572900000002,-0.080617,1.7727568,9.6177672,2.9601571,31.695,29.031599300000003,18.4532427,287.8,1747.5,84.3507551,1192.5,1899.0,956.75,963.75
S00396,2025-10,11.465572900000002,-0.080617,1.7727568,9.6177672,2.9601571,35.055,29.031599300000003,18.4532427,284.45,1763.5,84.3507551,1720.75,2112.25,989.0,1002.5
S00398,2025-10,11.0290035,0.2120877999999999,6.3238054,3.1795433,2.9155314,30.1675,26.3360546,11.8815101,286.6,1776.5,86.5726686,1855.25,1918.75,1032.25,986.25
S00400,2025-10,8.506594300000001,-0.5099404000000001,5.077437000000001,5.945901999999999,3.155323,25.3675,21.7173106,14.0714451,281.5,1794.0,85.762168,1868.0,1984.25,986.25,1001.25
S00402,2025-10,7.8765057,5.5402437,2.5096586,3.1505373,2.9895367000000004,35.12,22.627440600000003,12.7303259,283.65,1781.25,87.26807579999998,1427.0,2217.25,1059.0,1018.0
S00403,2025-10,11.0290035,0.2120877999999999,6.3238054,3.1795433,2.9155314,32.0,26.3360546,11.8815101,288.65,1778.25,86.5726686,1447.5,2046.25,1027.5,966.0
S00404,2025-10,11.0290035,0.2120877999999999,6.3238054,3.1795433,2.9155314,32.4475,26.3360546,11.8815101,286.3,1778.0,86.5726686,1624.0,2084.75,1049.75,962.5
S00405,2025-10,10.621626199999998,1.8011278000000002,3.9413679,3.6838445,4.0008758,28.465,25.339557,14.5717335,287.35,1773.0,87.93519140000001,1080.25,2029.0,1166.5,1027.25
S00406,2025-10,10.4957746,2.6955234,2.6189043,7.9483628,2.0202146,29.82,31.3928609,17.8674013,288.15,1756.5,86.46166170000001,1534.0,2071.5,1025.25,976.5
S00408,2025-10,11.8095505,0.9380851999999998,3.970079,13.2697341,4.050453299999999,27.1175,26.324666600000004,22.5141218,288.85,1771.75,78.23115340000001,1820.5,1951.25,984.5,1048.5
S00409,2025-10,15.455693599999998,1.343736,5.0520217,8.9079182,3.4309905,29.145000000000003,33.921635200000004,19.2530929,283.35,1786.75,82.91591290000001,1068.5,2030.25,1061.75,1083.25
S00410,2025-10,10.6204081,0.6721573000000001,3.8883157,12.7274121,2.7500147,27.805,25.2608699,21.6394965,286.75,1797.0,81.4910053,1113.25,1991.25,1177.75,1121.5
S00411,2025-10,9.8587495,0.1839412,1.7265967999999998,6.1836514000000005,3.5828979,,29.5118468,16.7302867,284.73,1757.75,87.11114920000001,,2157.25,1002.75,1056.0
S00412,2025-10,9.7589294,-0.6809573,4.5697275,2.5448333,2.1411568,,18.7127304,15.3413125,286.76,1773.25,88.4016901,,1911.0,1005.5,931.25
S00416,2025-10,9.9376722,-0.2386775,2.5923469,8.371183199999999,2.835689,32.57,21.8150862,18.6500745,280.8,1781.75,84.79711479999999,1362.5,2242.0,1032.25,1019.0
S00417,2025-10,14.035043099999998,0.1367948,11.492918199999998,15.086322199999998,2.6600173,28.3875,19.2461439,18.015220000000003,287.25,1695.25,77.1322261,1297.5,2066.5,970.0,1032.0
S00420,2025-10,12.3183515,2.6257049,9.3265505,12.4608813,4.5380192,25.28,12.6922692,18.397662300000004,288.35,1768.5,70.7847304,1503.0,2081.75,1001.25,1061.0
S00423,2025-10,9.3509462,-1.3578198,7.781722099999999,14.7552225,3.0970326,26.7625,16.687027099999998,17.6034735,282.75,1777.0,78.2792066,1114.75,2086.0,992.25,1079.5
S00429,2025-10,7.6136303,-1.1445531999999998,2.207486,5.1728255,3.555425,25.0275,24.175172,16.544856499999998,284.7,1780.0,87.27317389999997,1730.0,2138.5,1007.5,1037.0
S00430,2025-10,18.7982469,0.7442265,8.609691399999999,14.6491695,2.5441619,27.8225,15.0551421,24.8664164,282.04999999999995,1785.75,62.0541005,1234.75,2134.25,1033.5,1083.25
S00432,2025-10,12.244651,0.5605335,6.004010299999999,12.613908300000002,3.1761449,28.3675,19.1065333,21.9473309,279.85,1778.25,77.3436217,1167.75,2115.0,1018.25,1087.25
S00434,2025-10,7.874482799999999,-0.1023855,3.5052989,5.121027499999999,2.9484936,29.185,21.319713,15.6795132,278.15,1763.75,85.20104559999999,1636.0,2254.25,1021.75,1076.75
S00435,2025-10,7.874482799999999,-0.1023855,3.5052989,5.121027499999999,2.9484936,24.8175,21.319713,15.6795132,285.6,1774.5,85.20104559999999,1789.0,2070.5,982.0,1016.0
S00436,2025-10,10.9939381,-0.0597727,5.3509219,12.1841638,3.8826964,27.3175,21.7906153,21.311762,282.15,1788.25,78.9623606,1875.5,2096.5,1015.5,1067.25
S00438,2025-11,16.0443098,0.5966402,9.9269461,6.4252617,4.4499517,,22.5062295,16.3009622,290.59000000000003,1660.0,73.75391859999998,,2063.25,958.25,951.75
S00439,2025-10,23.1506374,-0.4425258,17.370491199999996,17.9655116,4.2294323,34.3,24.9291672,21.8181405,285.35,1774.5,72.4527686,1251.5,2069.25,989.75,1071.0
S00440,2025-11,11.3809968,-1.6436647,2.7642173,2.4198673,3.036582,,29.698875399999995,14.4623044,283.91,1765.25,87.0827743,,1962.5,1022.25,938.0
S00441,2025-11,15.5384667,0.4455434,8.2937508,6.3610178999999984,6.0224595,,17.68563,21.4823214,290.11,1769.5,69.2097304,,2128.25,1050.25,1057.5
S00446,2025-11,11.0288267,0.8541667,4.392835900000001,3.9380886,3.817755000000001,,30.4107437,16.337850099999997,293.61,1752.5,84.33199549999998,,1987.5,1053.75,986.0
S00448,2025-11,11.0638437,-5.3746863,6.7865682000000005,2.4834822999999995,3.6482125,31.9225,24.5140309,15.4864995,284.45,1774.75,82.2160888,1166.0,2062.25,1015.25,970.0
S00450,2025-11,13.867273999999998,-1.9257754,3.5301217000000005,15.4874819,4.3479453,,27.5752184,25.0070521,284.71,1679.75,75.08516479999999,,2222.25,1011.0,1118.25
S00452,2025-11,11.0638437,-5.3746863,6.7865682000000005,2.4834822999999995,3.6482125,32.375,24.5140309,15.4864995,287.65,1781.75,82.2160888,1420.0,2002.0,990.5,973.0
S00453,2025-11,13.169214300000002,-0.7175119999999999,5.504203400000001,4.4963037,2.6321553,,27.4479201,17.448827800000004,285.24,1751.0,85.04837049999998,,2007.0,1113.75,1022.5
S00454,2025-11,11.8304173,-2.7674391,2.7810764,7.514546699999999,4.1016172,32.18,26.5856214,19.6728138,283.95,1770.25,83.5154256,1084.5,2095.0,1212.25,1077.25
S00455,2025-11,11.1983295,-1.0476617,2.3508181,14.5928637,3.0558256,,27.2974295,24.1237222,287.2025,1756.0,81.2368515,,2056.25,1065.75,1044.75
S00456,2025-10,11.1719809,-1.6586561000000002,10.495204,6.249208299999999,6.0975422,30.69,17.193527,16.400068700000002,291.65,1677.0,74.3904806,1439.0,2082.0,997.5,1036.25
S00457,2025-11,13.169214300000002,-0.7175119999999999,5.504203400000001,4.4963037,2.6321553,,27.4479201,17.448827800000004,287.3725,1771.75,85.04837049999998,,2001.25,1074.25,1038.75
S00461,2025-11,12.5598017,2.5163871,2.2548595,13.2448635,3.5885265,25.625,23.5765122,19.0350315,289.65,1756.5,72.650453,1555.0,2089.0,980.0,1016.0
S00462,2025-10,11.1247785,0.2670665,9.6047123,8.561726499999999,2.6092253,,18.6687867,19.91388,290.7875,1711.75,80.28087049999998,,2083.75,1054.0,982.25
S00463,2025-11,12.5598017,2.5163871,2.2548595,13.2448635,3.5885265,27.685,23.5765122,19.0350315,284.35,1745.75,72.650453,1745.0,2189.0,1032.75,1073.5
