die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
24,26,706,0.00239691,0.00439244,0.00098772,176,24.93,2396.9,4392.4,15.66
24,27,681,0.00258235,0.00404801,0.00074372,162,23.79,2582.4,4048.0,15.977
24,28,710,0.00251834,0.00382659,0.00083863,210,29.58,2518.3,3826.6,16.348
24,29,514,0.00253008,0.00370031,0.00084631,141,27.43,2530.1,3700.3,16.771
24,30,527,0.00245036,0.00355586,0.00070143,120,22.77,2450.4,3555.9,17.241
25,13,575,0.00239451,0.00410706,0.00069591,97,16.87,2394.5,4107.1,16.378
25,14,714,0.00238703,0.00374063,0.00088294,146,20.45,2387.0,3740.6,15.882
25,15,542,0.00252452,0.00376742,0.00091449,156,28.78,2524.5,3767.4,15.435
25,16,638,0.00252801,0.00393539,0.00092058,197,30.88,2528.0,3935.4,15.042
25,17,570,0.00255454,0.00395332,0.00087655,182,31.93,2554.5,3953.3,14.705
25,18,604,0.00268124,0.0039192,0.00081105,194,32.12,2681.2,3919.2,14.431
25,19,719,0.00252343,0.00436058,0.00108845,294,40.89,2523.4,4360.6,14.221
25,20,545,0.00257414,0.00404425,0.00092232,159,29.17,2574.1,4044.2,14.08
25,21,585,0.00258078,0.00437234,0.00104233,238,40.68,2580.8,4372.3,14.009
25,22,817,0.00244538,0.00397263,0.0011143,307,37.58,2445.4,3972.6,14.009
25,23,620,0.00244826,0.00390932,0.00098443,192,30.97,2448.3,3909.3,14.08
25,24,615,0.00241276,0.00377172,0.00098285,188,30.57,2412.8,3771.7,14.221
25,25,685,0.00247353,0.00381958,0.00097457,245,35.77,2473.5,3819.6,14.431
25,26,811,0.00238161,0.00393335,0.00106622,267,32.92,2381.6,3933.4,14.705
25,27,709,0.00237386,0.00395848,0.0008533,120,16.93,2373.9,3958.5,15.042
25,28,746,0.00250274,0.00382659,0.00083427,222,29.76,2502.7,3826.6,15.435
25,29,462,0.00257565,0.00365505,0.00077589,146,31.6,2575.6,3655.0,15.882
25,30,638,0.00255933,0.00367359,0.00058257,157,24.61,2559.3,3673.6,16.378
26,12,137,0.00232372,0.00315457,0.00049719,3,2.19,2323.7,3154.6,16.101
26,13,656,0.00238395,0.00410706,0.00077765,115,17.53,2384.0,4107.1,15.532
26,14,657,0.00230724,0.00372007,0.0010626,150,22.83,2307.2,3720.1,15.008
26,15,534,0.00240962,0.0038517,0.00106103,186,34.83,2409.6,3851.7,14.534
26,16,808,0.00258198,0.00401986,0.00081557,228,28.22,2582.0,4019.9,14.116
26,17,780,0.00234568,0.00395332,0.0009777,222,28.46,2345.7,3953.3,13.757
26,18,632,0.00259406,0.0039192,0.00095671,252,39.87,2594.1,3919.2,13.463
26,19,575,0.00275302,0.00436058,0.0008452,241,41.91,2753.0,4360.6,13.238
26,20,591,0.00248529,0.00398293,0.00097987,184,31.13,2485.3,3982.9,13.086
26,21,604,0.00252569,0.00437234,0.00105458,254,42.05,2525.7,4372.3,13.01
26,22,659,0.00257013,0.00397263,0.00091558,221,33.54,2570.1,3972.6,13.01
26,23,625,0.00227796,0.00385191,0.00114464,217,34.72,2278.0,3851.9,13.086
26,24,813,0.00249122,0.00375875,0.0009243,240,29.52,2491.2,3758.8,13.238
26,25,671,0.00239632,0.00392496,0.00103008,209,31.15,2396.3,3925.0,13.463
26,26,592,0.00269537,0.00393335,0.00085974,220,37.16,2695.4,3933.4,13.757
26,27,648,0.00250787,0.00395848,0.00078883,146,22.53,2507.9,3958.5,14.116
26,28,534,0.00250744,0.00377237,0.00088256,172,32.21,2507.4,3772.4,14.534
26,29,568,0.00259026,0.00370031,0.00088363,211,37.15,2590.3,3700.3,15.008
26,30,612,0.00246496,0.00355586,0.00062678,119,19.44,2465.0,3555.9,15.532
26,31,31,0.00238263,0.00351253,0.00074574,5,16.13,2382.6,3512.5,16.101
27,12,462,0.00243303,0.00410706,0.00069415,87,18.83,2433.0,4107.1,15.305
27,13,544,0.00241058,0.00370697,0.00093687,147,27.02,2410.6,3707.0,14.705
27,14,662,0.00239527,0.00374063,0.00096867,174,26.28,2395.3,3740.6,14.151
27,15,505,0.00251041,0.00381469,0.00095312,138,27.33,2510.4,3814.7,13.647
27,16,722,0.00243629,0.00393539,0.00096835,190,26.32,2436.3,3935.4,13.2
27,17,596,0.00232762,0.00387568,0.00111016,205,34.4,2327.6,3875.7,12.816
27,18,560,0.00250066,0.00385156,0.0010683,203,36.25,2500.7,3851.6,12.5
27,19,562,0.00238357,0.00436058,0.00110513,204,36.3,2383.6,4360.6,12.258
27,20,611,0.0025526,0.00404425,0.00102975,213,34.86,2552.6,4044.2,12.093
27,21,595,0.00277652,0.00399288,0.00085768,253,42.52,2776.5,3992.9,12.01
27,22,723,0.00246854,0.00403885,0.00105437,234,32.37,2468.5,4038.8,12.01
27,23,538,0.00242639,0.00385191,0.00098254,120,22.3,2426.4,3851.9,12.093
27,24,614,0.00229678,0.00407378,0.0010554,157,25.57,2296.8,4073.8,12.258
27,25,601,0.002617,0.00381958,0.00099607,273,45.42,2617.0,3819.6,12.5
27,26,603,0.00244447,0.00393961,0.00105196,210,34.83,2444.5,3939.6,12.816
27,27,694,0.00239148,0.00404801,0.00090444,151,21.76,2391.5,4048.0,13.2
27,28,648,0.00239818,0.00382659,0.00088495,148,22.84,2398.2,3826.6,13.647
27,29,487,0.00260674,0.00375808,0.00084212,203,41.68,2606.7,3758.1,14.151
27,30,621,0.00234705,0.00355829,0.00087492,175,28.18,2347.0,3558.3,14.705
27,31,393,0.00237778,0.00363743,0.00077904,107,27.23,2377.8,3637.4,15.305
28,12,494,0.00254193,0.00410706,0.00063146,111,22.47,2541.9,4107.1,14.534
28,13,556,0.00241056,0.00373508,0.0009509,161,28.96,2410.6,3735.1,13.901
28,14,694,0.00245347,0.00372007,0.00096101,182,26.22,2453.5,3720.1,13.314
28,15,484,0.00227887,0.0038517,0.00108853,130,26.86,2278.9,3851.7,12.777
28,16,664,0.00263131,0.00401986,0.00079019,213,32.08,2631.3,4019.9,12.298
28,17,702,0.00232738,0.00385635,0.00103062,193,27.49,2327.4,3856.4,11.885
28,18,667,0.00250032,0.00389515,0.00105868,255,38.23,2500.3,3895.2,11.543
28,19,604,0.00248973,0.00436058,0.00094689,169,27.98,2489.7,4360.6,11.281
28,20,609,0.00245129,0.00398293,0.0010232,199,32.68,2451.3,3982.9,11.102
28,21,667,0.00245396,0.00403393,0.001037,208,31.18,2454.0,4033.9,11.011
28,22,595,0.00241973,0.00397263,0.00104066,187,31.43,2419.7,3972.6,11.011
28,23,565,0.00227051,0.00386912,0.00117267,176,31.15,2270.5,3869.1,11.102
28,24,741,0.00245508,0.00407082,0.00094519,202,27.26,2455.1,4070.8,11.281
28,25,544,0.00253961,0.00392496,0.00097947,191,35.11,2539.6,3925.0,11.543
28,26,740,0.00267533,0.00393961,0.00091314,300,40.54,2675.3,3939.6,11.885
28,27,614,0.00255036,0.00404801,0.00087846,175,28.5,2550.4,4048.0,12.298
28,28,637,0.00240138,0.00375152,0.00091776,176,27.63,2401.4,3751.5,12.777
28,29,566,0.0023732,0.00375808,0.0009771,177,31.27,2373.2,3758.1,13.314
28,30,708,0.0024237,0.00369371,0.00082628,187,26.41,2423.7,3693.7,13.901
28,31,528,0.00249508,0.00367359,0.00067824,143,27.08,2495.1,3673.6,14.534
29,12,473,0.00237241,0.00356973,0.00070479,63,13.32,2372.4,3569.7,13.793
29,13,545,0.00232333,0.00370697,0.00096221,116,21.28,2323.3,3707.0,13.124
29,14,602,0.00264533,0.00370366,0.00087987,257,42.69,2645.3,3703.7,12.5
29,15,425,0.00231987,0.00387036,0.00107917,116,27.29,2319.9,3870.4,11.927
29,16,658,0.00240329,0.00393539,0.0009859,170,25.84,2403.3,3935.4,11.413
29,17,636,0.00222127,0.00386708,0.00110847,156,24.53,2221.3,3867.1,10.966
29,18,602,0.00226064,0.00385156,0.00117484,164,27.24,2260.6,3851.6,10.595
29,19,561,0.00252158,0.00386939,0.00104066,225,40.11,2521.6,3869.4,10.308
29,20,702,0.00253245,0.00404425,0.00105447,267,38.03,2532.4,4044.2,10.112
29,21,558,0.00277823,0.00392085,0.00080301,197,35.3,2778.2,3920.8,10.012
29,22,648,0.00215121,0.00403885,0.00116821,158,24.38,2151.2,4038.8,10.012
29,23,520,0.00238691,0.00385191,0.00090453,72,13.85,2386.9,3851.9,10.112
29,24,632,0.00226537,0.00407378,0.00097316,136,21.52,2265.4,4073.8,10.308
29,25,663,0.00246506,0.00381958,0.00096766,211,31.83,2465.1,3819.6,10.595
29,26,702,0.00259468,0.00393961,0.00098398,306,43.59,2594.7,3939.6,10.966
29,27,651,0.00250937,0.00373332,0.00093674,198,30.41,2509.4,3733.3,11.413
29,28,769,0.00232209,0.00375152,0.00083806,171,22.24,2322.1,3751.5,11.927
29,29,610,0.00253747,0.00375808,0.00088682,241,39.51,2537.5,3758.1,12.5
29,30,583,0.00222845,0.00365044,0.00092488,127,21.78,2228.4,3650.4,13.124
29,31,483,0.00251384,0.00367359,0.00076917,161,33.33,2513.8,3673.6,13.793
30,12,545,0.00248995,0.00356973,0.00060776,105,19.27,2490.0,3569.7,13.086
30,13,483,0.0023904,0.00369144,0.00095873,138,28.57,2390.4,3691.4,12.379
30,14,590,0.00237823,0.00382294,0.00107823,209,35.42,2378.2,3822.9,11.715
30,15,505,0.00228795,0.0038517,0.00110224,161,31.88,2288.0,3851.7,11.102
30,16,690,0.0025334,0.00401986,0.00085267,171,24.78,2533.4,4019.9,10.548
30,17,571,0.00223252,0.00387568,0.00113643,183,32.05,2232.5,3875.7,10.062
30,18,672,0.00247694,0.00389515,0.00102246,244,36.31,2476.9,3895.2,9.657
30,19,596,0.00248004,0.00408343,0.00099271,172,28.86,2480.0,4083.4,9.341
30,20,516,0.00249959,0.00398348,0.0010655,216,41.86,2499.6,3983.5,9.124
30,21,709,0.002517,0.00403393,0.00095278,212,29.9,2517.0,4033.9,9.014
30,22,713,0.00245844,0.00391132,0.00098743,222,31.14,2458.4,3911.3,9.014
30,23,541,0.00226938,0.00386912,0.0011299,120,22.18,2269.4,3869.1,9.124
30,24,743,0.00249964,0.00407082,0.00086845,216,29.07,2499.6,4070.8,9.341
