health,reg_pred,clf_proba,split
0.0153714753380725,0.0034996248658032,0.37359784295658566,train
0.0065719355870973,0.003995708884007,0.4653333715030921,train
0.0100239337385037,0.003193228379698675,0.3920186156772135,train
0.0056138210693369,0.003186213395829825,0.3848933380143472,train
0.0017387532054982,0.003043347047670225,0.3569410753408653,train
0.016304475177737,0.0033252368584619,0.4024365306414746,train
0.0021832142888519,0.00362053994086645,0.4356512758199893,train
0.004370279087354,0.0035316096295364497,0.38394481525198987,train
0.0216632838513683,0.0037567417388757,0.44848879187063073,train
0.0056217903762188,0.00197705097679155,0.23971269472416384,train
0.0107615779973268,0.004008677360477125,0.5109300353073564,train
0.0087115037422656,0.003587833662538025,0.38869342602406876,train
0.0171771423041563,0.003359347623708225,0.3459108838968339,train
0.0070903014804749,0.003781184820125025,0.46826371549699747,train
0.0018610468294801,0.0028102676363002997,0.3370879619974414,train
0.0047079998105432,0.0039700583472009245,0.4948445725385886,train
0.0066419431358791,0.004067012632932776,0.47931405652637965,train
0.0056753300141597,0.003490180148402575,0.38720654074440897,train
0.0038291151431102,0.00350847903975505,0.42251162637832945,train
0.0019664399523622,0.00408304596288745,0.4923945082425914,train
0.0103079099208966,0.003735401996037375,0.44570506866905657,train
0.0050892930285901,0.00434418013528715,0.48784876108572917,train
0.0049731081926203,0.0028799614879311247,0.3668720016680989,train
0.0047433621561778,0.002023374359139675,0.23553483778475434,train
0.0150064917419004,0.003935534514779025,0.4646991013439185,train
0.0035737912388184,0.0034274769089082,0.3755705150392573,train
0.0022137295775651,0.0028009569504834,0.3449124915524162,train
0.0032550036676097,0.003231780851380625,0.36426856549726344,train
0.0024616146607231,0.00211493201080835,0.25848385017604236,train
0.0015199752889329,0.00396675940356725,0.4543853369330392,train
0.0079140967526194,0.0037460145215184497,0.457215826641204,train
0.0123305938905256,0.003045001813063025,0.3757167767288645,train
0.0033566339107824,0.004268522824628425,0.48085891368864814,train
0.0118930819115078,0.00295880961623975,0.3648472395723229,train
0.0051663201663201,0.0033246424212346,0.458226995786056,train
0.002272207744708,0.003236119737119425,0.40908700215171584,train
0.013817340934588,0.0025454022114197,0.34079216293059666,train
0.0076267467091431,0.00371727196028635,0.4538716679176847,train
0.0150416574791064,0.00275812261362595,0.34359577906571875,train
0.0125843493233063,0.0040731511108787755,0.46393129004576816,train
0.0097674418604651,0.00363851369030985,0.4548552719464327,train
0.0025388749259281,0.003647366581678,0.4593355852964131,train
0.0070537876142869,0.002813136384778375,0.3442847792596401,train
0.002596167909902,0.001689109177207075,0.19479566517483732,train
0.0033547986445803,0.003199162308181725,0.3840649583489739,train
0.0097460535346602,0.00411961034527655,0.4999404475368977,train
0.0053459139791885,0.003752526130693775,0.43656626205344307,train
0.0097195603707904,0.0035508327015767,0.46170685495094,train
0.0041109034061771,0.0038416456773223253,0.43407611172177507,train
0.0061657176175766,0.0038780986517435003,0.44386827648256105,train
0.0084237288135593,0.002350608581359225,0.285235094695186,train
0.0078765115136531,0.003145648316716625,0.38497551252949735,train
0.0083895308108473,0.00321712583078615,0.40184863071486077,train
0.0090623974326246,0.0031224801978055753,0.38035371498403026,train
0.0044834756408348,0.003623145734169325,0.414489023109352,train
0.0052706091954632,0.003645060551513825,0.4356021771872576,train
0.019281922954751,0.003956735793618425,0.4553446120514656,train
0.0179172274562584,0.004086946311534325,0.5221831698949413,train
0.0027407836325033,0.00306644505805045,0.40603650749796616,train
0.0024576342427074,0.00226527521641985,0.2511689870226745,train
0.0077404202565396,0.003555824902600425,0.392366855765045,train
0.002494266198929,0.0033499887885075,0.3933110521881045,train
0.0214858104045243,0.0030880508921558502,0.35766401466502074,train
0.0093125571494955,0.0041337792085553,0.48583834891540206,train
0.0015185402458996,0.003973289377543025,0.4723955372788612,train
0.0312865133432519,0.004225663603868425,0.47267373007880853,train
0.0068543687981409,0.002917894300912575,0.34678883635599567,train
0.0033763357585885,0.0034149822014555,0.34891957736512597,train
