die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
21,15,622,0.00260925,0.00368103,0.0008788,120,19.29,2609.2,3681.0,19.138
21,16,752,0.00271276,0.00357037,0.00088122,202,26.86,2712.8,3570.4,18.822
21,17,719,0.00261399,0.0036515,0.00094334,192,26.7,2614.0,3651.5,18.554
21,18,662,0.00278329,0.00380535,0.00094098,299,45.17,2783.3,3805.4,18.337
21,19,688,0.00261864,0.00365911,0.00108391,270,39.24,2618.6,3659.1,18.173
21,20,627,0.00256348,0.00363817,0.00102609,208,33.17,2563.5,3638.2,18.062
21,21,682,0.00248813,0.00367213,0.00100469,159,23.31,2488.1,3672.1,18.007
21,22,720,0.00234364,0.00364468,0.00110488,162,22.5,2343.6,3644.7,18.007
21,23,548,0.00252554,0.00361283,0.00106579,174,31.75,2525.5,3612.8,18.062
21,24,642,0.00246159,0.00367301,0.00106775,158,24.61,2461.6,3673.0,18.173
21,25,588,0.00250541,0.00366031,0.00098178,158,26.87,2505.4,3660.3,18.337
21,26,756,0.00269696,0.00364106,0.00093897,267,35.32,2697.0,3641.1,18.554
21,27,620,0.0025843,0.00359886,0.00090324,152,24.52,2584.3,3598.9,18.822
21,28,458,0.00255509,0.00360031,0.00082967,93,20.31,2555.1,3600.3,19.138
21,29,636,0.00243952,0.0036173,0.00075075,93,14.62,2439.5,3617.3,19.5
22,13,3,0.0022468,0.00313994,0.00109849,0,0.0,2246.8,3139.9,19.007
22,14,547,0.00242534,0.00369899,0.00071305,46,8.41,2425.3,3699.0,18.581
22,15,462,0.00235739,0.00362392,0.00109285,101,21.86,2357.4,3623.9,18.2
22,16,639,0.00279484,0.00363151,0.0009046,291,45.54,2794.8,3631.5,17.868
22,17,669,0.00257739,0.00365128,0.00091777,158,23.62,2577.4,3651.3,17.586
22,18,629,0.00267856,0.00372721,0.00099595,225,35.77,2678.6,3727.2,17.357
22,19,516,0.00246379,0.00361791,0.00118644,238,46.12,2463.8,3617.9,17.183
22,20,532,0.00262441,0.00373113,0.00096879,178,33.46,2624.4,3731.1,17.066
22,21,681,0.0024984,0.00363179,0.00095887,173,25.4,2498.4,3631.8,17.007
22,22,668,0.00241587,0.00362725,0.0009946,122,18.26,2415.9,3627.2,17.007
22,23,640,0.00252789,0.00361388,0.00101536,158,24.69,2527.9,3613.9,17.066
22,24,685,0.00261041,0.00365802,0.00089631,253,36.93,2610.4,3658.0,17.183
22,25,590,0.00262277,0.00365369,0.00092976,135,22.88,2622.8,3653.7,17.357
22,26,855,0.00257209,0.00366279,0.00095122,233,27.25,2572.1,3662.8,17.586
22,27,634,0.00262487,0.00362032,0.00082548,129,20.35,2624.9,3620.3,17.868
22,28,562,0.00251392,0.00365964,0.00086574,78,13.88,2513.9,3659.6,18.2
22,29,641,0.00256682,0.00358846,0.0006956,118,18.41,2566.8,3588.5,18.581
22,30,23,0.00188718,0.00362002,0.00058803,2,8.7,1887.2,3620.0,19.007
