run_id,wafer_no,total_dies,risk_dies,avg_ppm
22,3,188,0,2133.4
22,6,220,0,1727.1
22,8,192,0,2334.9
22,9,248,0,2392.5
22,11,232,0,2533.6
22,14,248,0,1510.7
22,16,216,0,2609.2
22,17,232,0,2074.5
22,19,280,164,3291.0
22,22,284,0,2443.3
22,24,212,4,2855.1
22,25,276,0,2791.4
23,1,240,0,2376.2
23,3,228,0,2906.6
23,4,212,0,2529.8
23,5,232,0,2461.0
23,6,216,0,2483.3
23,7,276,0,2772.4
23,9,212,0,2462.7
23,10,228,0,1896.4
23,11,188,0,1758.7
23,12,172,0,2312.9
23,13,252,0,2787.9
23,14,240,0,2175.3
23,15,252,0,2423.2
23,16,216,0,550.2
23,17,252,0,146.4
23,18,224,0,490.3
23,19,248,0,690.4
23,20,244,0,231.4
23,21,296,0,509.9
23,22,188,0,544.1
23,23,212,0,555.4
24,1,300,0,2893.4
24,2,296,4,2691.9
24,4,268,4,2730.7
24,5,284,0,2886.4
24,6,212,0,2656.4
24,7,248,0,2945.4
24,10,280,0,2685.6
24,11,288,0,2816.3
24,12,200,12,2872.1
24,13,236,0,2691.8
24,14,248,0,2937.5
24,15,184,0,2502.0
24,16,276,12,2650.6
24,17,284,0,2857.2
24,18,280,8,2808.1
24,19,264,0,2820.0
24,20,244,0,2536.3
24,21,232,0,2500.0
24,22,244,0,2791.9
24,23,196,0,2507.0
24,24,276,0,2356.6
25,1,288,256,3584.2
25,2,192,192,3719.7
25,3,336,312,3563.1
25,4,236,136,3356.0
25,5,272,220,3525.1
25,6,272,180,3371.6
25,7,268,232,3567.5
25,8,224,216,3681.7
25,9,264,64,3194.7
25,10,284,268,3520.7
25,11,276,200,3422.4
25,12,224,80,3248.4
25,13,224,196,3527.5
25,14,320,284,3507.6
25,15,280,160,3311.3
25,16,248,240,3551.1
25,17,260,192,3452.7
25,18,236,92,3275.8
25,19,296,280,3540.4
25,20,252,168,3433.4
25,21,284,100,3203.5
25,22,244,168,3407.0
25,23,328,276,3576.3
25,24,208,160,3397.2
25,25,220,160,3411.2
26,1,224,0,2384.9
26,3,256,0,2358.8
26,8,276,0,1925.1
26,9,292,0,1071.6
26,11,220,0,876.7
26,14,204,0,579.2
26,16,228,0,845.1
26,17,276,0,924.3
26,24,228,0,2144.7
26,25,224,0,2056.4
27,1,296,0,588.5
27,3,280,0,559.1
27,8,272,60,3004.4
27,9,292,0,2534.5
27,11,252,0,2505.6
27,14,248,0,2785.0
27,17,252,0,2469.7
28,2,224,0,2091.0
28,3,296,0,1821.4
28,4,244,0,1256.1
28,5,272,0,711.4
28,6,272,0,1986.0
28,8,268,0,1588.3
28,10,208,0,1883.8
28,12,260,0,1502.7
28,14,212,0,1683.4
28,15,276,0,2434.3
28,16,256,0,2111.1
28,18,312,0,2702.4
28,19,248,0,2582.2
28,20,228,0,2390.7
28,21,260,0,2393.3
28,22,136,0,2418.7
28,23,228,0,2155.2
28,24,236,0,2166.7
28,25,308,0,1794.1
29,1,72,0,555.1
29,2,60,0,881.8
29,4,72,8,733.5
29,5,80,0,705.4
29,6,88,20,1323.9
29,7,92,16,1084.4
29,8,104,8,615.6
29,10,76,8,739.7
29,11,84,0,542.3
29,12,64,4,570.0
29,13,68,0,534.4
29,14,44,0,633.4
29,16,108,4,763.0
29,17,60,4,664.9
29,18,100,8,641.4
29,19,104,8,605.5
29,20,68,0,647.0
29,22,60,12,1054.0
29,23,76,8,705.4
29,24,100,8,633.8
29,25,72,8,907.9
30,1,56,0,2825.0
30,2,96,0,2813.7
30,3,108,56,3048.0
30,4,68,16,3182.4
30,5,100,36,3171.8
30,7,72,0,1898.3
30,8,76,20,3060.4
30,9,96,0,1492.9
30,10,104,0,1292.4
30,11,124,0,1463.7
30,13,100,0,2698.2
30,14,80,8,2833.4
30,15,108,0,2458.2
30,16,92,0,2164.6
30,17,100,0,3039.7
30,19,84,0,1853.8
30,20,96,0,2999.1
30,21,96,0,1256.0
30,22,96,0,3041.4
30,23,80,0,2930.1
31,2,56,0,2895.2
31,3,84,0,1380.3
31,4,76,0,2573.1
31,6,88,0,2053.5
31,8,88,0,1926.8
31,9,88,0,1981.3
31,10,80,0,2929.0
31,11,84,0,2547.7
31,12,80,0,2829.1
31,14,104,0,2111.9
31,15,104,0,2076.1
31,16,92,0,2217.6
31,17,76,0,2183.7
31,18,88,0,3101.1
31,20,76,0,2914.9
31,21,72,0,2654.3
31,22,76,0,2101.5
31,23,88,0,2100.0
31,24,88,0,2726.1
32,5,76,28,3281.1
32,10,84,72,3470.3
