feature,corr,abs_corr
X409_min,0.0027408477192968203,0.0027408477192968203
X1007_median,0.002738455185479398,0.002738455185479398
X1078_min,-0.0027360397123278556,0.0027360397123278556
X388_std,-0.00273317248967208,0.00273317248967208
X719_std,0.0027325009026117958,0.0027325009026117958
X19_min,-0.0027319494628150255,0.0027319494628150255
X900_mean,-0.002728626160755931,0.002728626160755931
X822_mean,0.0027263323472175283,0.0027263323472175283
X479_mean,-0.0027234296130805693,0.0027234296130805693
X443_max,-0.0027176850965355847,0.0027176850965355847
X1020_min,0.0027172068223367063,0.0027172068223367063
X549_median,0.0027167823231192,0.0027167823231192
X674_median,0.002711092221698577,0.002711092221698577
X481_std,-0.002709235162881448,0.002709235162881448
X875_range,-0.002708372317293289,0.002708372317293289
X925_median,0.00270663331461896,0.00270663331461896
X37_max,0.0027014208611516543,0.0027014208611516543
X202_mean,0.0026987241650655233,0.0026987241650655233
X81_mean,-0.002698552829976132,0.002698552829976132
X1030_std,0.0026950118525584676,0.0026950118525584676
X800_std,0.002691008886344428,0.002691008886344428
X569_median,0.0026783282579897105,0.0026783282579897105
X726_std,-0.0026770793956711553,0.0026770793956711553
X1007_min,0.002676621537571308,0.002676621537571308
X613_std,0.0026735150097851397,0.0026735150097851397
X465_max,-0.0026727570992901724,0.0026727570992901724
X122_std,0.0026668321045085104,0.0026668321045085104
X747_max,-0.002662664636322974,0.002662664636322974
X407_min,-0.0026553567960559336,0.0026553567960559336
X403_range,-0.0026537645233696574,0.0026537645233696574
X1030_min,-0.0026507895962664,0.0026507895962664
X71_mean,-0.0026452165310379976,0.0026452165310379976
X980_median,0.002642982327060807,0.002642982327060807
X29_mean,-0.0026367240587791426,0.0026367240587791426
X779_median,-0.002631585028956754,0.002631585028956754
X805_std,-0.002631568997336173,0.002631568997336173
X28_mean,-0.0026203553854611183,0.0026203553854611183
X264_median,-0.0026181381860919755,0.0026181381860919755
X840_median,0.0026138341948703076,0.0026138341948703076
X1083_std,-0.0026134494683524912,0.0026134494683524912
X726_range,-0.002609187831113458,0.002609187831113458
X174_std,0.0026044241664939212,0.0026044241664939212
X790_mean,-0.0025988842997155116,0.0025988842997155116
X946_median,0.0025981079924838925,0.0025981079924838925
X940_min,0.002594199554129063,0.002594199554129063
X1030_range,0.0025907654728060158,0.0025907654728060158
X209_mean,-0.0025817581218960223,0.0025817581218960223
X677_median,-0.0025567540814947216,0.0025567540814947216
X793_min,0.002549926457731761,0.002549926457731761
X178_std,-0.002543314813483598,0.002543314813483598
X413_range,0.002543244707219961,0.002543244707219961
X104_mean,-0.0025414829224852473,0.0025414829224852473
X905_max,-0.0025353800118904377,0.0025353800118904377
X146_min,-0.002530280179545671,0.002530280179545671
X907_mean,-0.0025261786404308507,0.0025261786404308507
X988_std,-0.0025181160151820457,0.0025181160151820457
X1033_mean,-0.0025138370489778145,0.0025138370489778145
X1064_range,-0.0025138319245894742,0.0025138319245894742
X779_min,-0.0025111749436500463,0.0025111749436500463
X506_max,-0.0025093118305004867,0.0025093118305004867
X719_mean,-0.0025069406248062055,0.0025069406248062055
X946_std,-0.00248957576977369,0.00248957576977369
X773_std,0.0024857420694794036,0.0024857420694794036
X631_min,-0.0024766743002103578,0.0024766743002103578
X403_std,-0.002476070433453115,0.002476070433453115
X1030_median,-0.0024738673651954557,0.0024738673651954557
X270_std,0.002472497134147007,0.002472497134147007
X650_max,0.002464777943793252,0.002464777943793252
X890_mean,0.002460888667656593,0.002460888667656593
X957_min,-0.0024596843255772056,0.0024596843255772056
X1042_min,0.002458342159457503,0.002458342159457503
X260_min,0.0024582931133864017,0.0024582931133864017
X973_range,0.002456969865453602,0.002456969865453602
X793_max,-0.002446541013192554,0.002446541013192554
X827_range,0.0024454336618491006,0.0024454336618491006
X572_median,0.0024441741351393597,0.0024441741351393597
X588_median,-0.0024379408607942596,0.0024379408607942596
X95_max,-0.0024322692557918967,0.0024322692557918967
X562_mean,0.0024307547913416986,0.0024307547913416986
X941_min,0.00242906360030796,0.00242906360030796
X10_median,-0.0024274372602703146,0.0024274372602703146
X900_median,-0.002425045475101313,0.002425045475101313
X807_range,0.0024237138438970626,0.0024237138438970626
X796_mean,-0.00242042852831767,0.00242042852831767
X1058_median,0.0024197765552961344,0.0024197765552961344
X675_range,-0.002419086077832367,0.002419086077832367
X1042_median,-0.002416219711199522,0.002416219711199522
X66_std,0.002415948372201441,0.002415948372201441
X589_min,-0.0024153426420914404,0.0024153426420914404
X376_range,-0.002411942856506194,0.002411942856506194
X271_mean,-0.0024075263708018494,0.0024075263708018494
X302_std,-0.002404649176223579,0.002404649176223579
X174_range,0.0024037675562825537,0.0024037675562825537
X366_median,-0.002401930858893974,0.002401930858893974
X74_mean,-0.0023997332178995073,0.0023997332178995073
X33_std,-0.002399087605954323,0.002399087605954323
X165_median,0.002398829450399655,0.002398829450399655
X757_min,-0.0023922211924215383,0.0023922211924215383
X214_min,0.002388402936788652,0.002388402936788652
X432_mean,-0.0023863840254330416,0.0023863840254330416
X63_median,0.0023856915751322445,0.0023856915751322445
X383_min,-0.0023837509528273197,0.0023837509528273197
X803_std,0.0023748874292900497,0.0023748874292900497
X850_max,0.0023696025872454317,0.0023696025872454317
X506_std,-0.002365843747681213,0.002365843747681213
X1070_range,-0.0023631624933948586,0.0023631624933948586
X801_median,0.0023596630892546567,0.0023596630892546567
X1083_range,-0.002359187525260799,0.002359187525260799
X720_std,0.0023580123193221694,0.0023580123193221694
X792_mean,-0.00235564921251268,0.00235564921251268
X335_mean,-0.0023506952487723012,0.0023506952487723012
X894_min,0.0023486557652143535,0.0023486557652143535
X637_max,0.0023452332122832252,0.0023452332122832252
X725_std,0.002341826045187991,0.002341826045187991
X736_std,-0.00234128249987405,0.00234128249987405
X841_range,0.0023383246782272184,0.0023383246782272184
X74_range,-0.0023378632863699633,0.0023378632863699633
X504_mean,0.0023369080487848116,0.0023369080487848116
X899_mean,0.002335995497075332,0.002335995497075332
X650_mean,0.002331676151128832,0.002331676151128832
X145_min,0.0023309741824408853,0.0023309741824408853
X927_min,-0.0023297368878583058,0.0023297368878583058
X74_max,-0.002325366770036507,0.002325366770036507
X462_min,0.0023153189794183,0.0023153189794183
X128_median,0.0023148142585723954,0.0023148142585723954
X842_range,0.002313598407983932,0.002313598407983932
X1007_std,-0.002308983150390121,0.002308983150390121
X62_std,0.0023046744345328425,0.0023046744345328425
X497_range,0.002303941840109001,0.002303941840109001
X919_max,0.002303406678597609,0.002303406678597609
X809_median,0.00230329213688571,0.00230329213688571
X302_range,-0.002301248050851326,0.002301248050851326
X750_max,-0.002301150884321463,0.002301150884321463
X670_mean,-0.002300056242307549,0.002300056242307549
X431_mean,-0.0022994041862636756,0.0022994041862636756
X80_range,0.002297201017817949,0.002297201017817949
X240_max,0.0022957565649824887,0.0022957565649824887
X918_range,0.0022878613702282152,0.0022878613702282152
X767_min,0.0022819873503621465,0.0022819873503621465
X167_max,0.002280684694438274,0.002280684694438274
X794_min,-0.002278134713841242,0.002278134713841242
X977_mean,0.002276813331471273,0.002276813331471273
X999_min,0.002264652572093312,0.002264652572093312
X914_median,-0.0022626516784034715,0.0022626516784034715
X888_mean,0.00226146799422813,0.00226146799422813
X572_range,-0.0022603252772106243,0.0022603252772106243
X822_max,0.0022597239838711915,0.0022597239838711915
X651_range,0.0022564199891253606,0.0022564199891253606
X896_min,0.0022500908288702035,0.0022500908288702035
X848_min,-0.0022453372487124153,0.0022453372487124153
