feature,importance
X268_max,10
X327_max,10
X674_mean,10
X1016_range,10
X327_std,10
X447_std,10
X290_mean,10
X155_median,10
X1030_range,10
X376_std,10
X734_mean,10
X490_max,10
X285_std,10
X1015_range,10
X661_mean,10
X657_mean,10
X1018_mean,10
X443_median,10
X486_median,10
X58_min,10
X28_min,10
X732_min,10
X723_min,10
X479_mean,10
X185_min,10
X188_min,10
X656_median,10
X127_mean,10
X69_min,10
X1063_mean,10
X146_std,10
X744_median,10
X503_mean,10
X509_mean,10
X74_max,10
X53_std,10
X38_std,10
X722_median,10
X95_mean,10
X723_median,10
X1001_min,10
X1083_min,10
X1029_min,10
X1016_min,10
X19_max,10
X67_mean,10
X57_mean,10
X833_median,10
X588_mean,9
X665_min,9
X319_median,9
X851_mean,9
X856_mean,9
X41_min,9
X290_range,9
X268_range,9
X161_min,9
X1085_range,9
X667_min,9
X675_min,9
X848_std,9
X319_std,9
X1001_max,9
X1007_max,9
X17_min,9
X64_range,9
X395_mean,9
X210_range,9
X849_mean,9
X457_std,9
X728_mean,9
X732_mean,9
X1007_range,9
X79_mean,9
X690_median,9
X974_mean,9
X1001_range,9
X160_range,9
X145_range,9
X1006_median,9
X24_min,9
X31_min,9
X298_min,9
X802_std,9
X213_mean,9
X145_mean,9
X1044_range,9
X820_std,9
X821_std,9
X33_median,9
X806_std,9
X125_min,9
X413_mean,9
X454_std,9
X839_median,9
X594_std,9
X656_range,9
X33_mean,9
X36_mean,9
X32_mean,9
X1084_median,9
X50_mean,9
X1085_median,9
X1012_median,9
X91_std,9
X1080_mean,9
X40_std,9
X1029_mean,9
X1042_median,9
X509_max,9
X1033_max,9
X1030_max,9
X57_median,9
X77_min,9
X59_median,9
X664_std,9
X483_min,9
X721_min,9
X174_mean,9
X483_median,9
X667_max,9
X857_median,9
X161_mean,9
X891_mean,9
X585_std,9
X648_median,9
X174_median,9
X145_median,9
X145_min,9
X1018_min,9
X749_std,9
X750_std,9
X751_std,9
X805_mean,9
X502_mean,9
X892_median,9
X33_range,9
X549_min,9
X995_range,9
X319_mean,9
X106_max,9
X566_std,9
X18_range,9
X320_mean,9
X46_range,9
X76_max,9
X24_median,9
X840_mean,9
X442_min,9
X733_min,9
X657_range,9
X661_range,9
X713_range,9
X873_min,9
X79_median,9
X36_median,9
X643_std,9
X929_min,9
X32_max,9
X798_std,8
X210_median,8
X980_mean,8
X887_max,8
X675_median,8
X763_std,8
X460_std,8
X655_median,8
X73_mean,8
X638_mean,8
X562_mean,8
X510_mean,8
X860_std,8
X420_mean,8
X204_min,8
X661_median,8
X665_median,8
X782_max,8
X287_min,8
X128_mean,8
X119_min,8
X813_std,8
X207_min,8
X1001_median,8
X35_min,8
X167_min,8
X191_min,8
X190_min,8
X852_std,8
X817_std,8
X1017_range,8
X486_max,8
X214_max,8
X240_max,8
X28_mean,8
X6_mean,8
X4_mean,8
X713_mean,8
X875_mean,8
X843_std,8
X825_std,8
X106_mean,8
X795_median,8
X264_range,8
X732_median,8
X214_range,8
X731_mean,8
X205_range,8
X178_range,8
X1033_range,8
X119_max,8
X1004_range,8
X202_max,8
X725_median,8
X128_min,8
X1079_std,8
X376_mean,8
X752_std,8
X823_median,8
X1074_std,8
X839_min,8
X894_mean,8
X479_median,8
X505_std,8
X46_max,8
X19_median,8
X161_max,8
X655_max,8
X932_std,8
X657_max,8
X79_range,8
X82_range,8
X36_range,8
X52_range,8
X481_range,8
X66_max,8
X648_mean,8
X653_mean,8
X463_std,8
X24_range,8
X585_range,8
X207_median,8
X190_median,8
X196_median,8
X327_mean,8
X317_mean,8
X58_range,8
X490_mean,8
X844_median,8
X842_median,8
X490_min,8
X834_median,8
X989_std,8
X677_max,8
X683_range,8
X67_median,8
X1017_std,8
X731_range,8
X1007_min,8
X1006_min,8
X732_max,8
X723_max,8
X61_max,8
X29_max,8
X77_median,8
X64_median,8
X998_std,8
X833_mean,8
X566_min,8
X486_min,8
X52_mean,8
X1019_mean,8
X12_mean,8
X86_median,8
X997_mean,8
X1001_mean,8
X38_mean,8
X1030_median,8
X47_mean,7
X728_min,7
X765_median,7
X999_mean,7
X1002_mean,7
X1004_mean,7
X1084_mean,7
X112_std,7
X1008_median,7
X651_std,7
X665_mean,7
